"year","region","sc_name","total_HC_m"
2013,"I","Argobuccinum spp.",0
2013,"I","Argopecten purpuratus",0
2013,"I","Athyonidium chilensis",0
2013,"I","Aulacomya ater",0
2013,"I","Austromegabalanus psittacus",0
2013,"I","Brama australis",0
2013,"I","Callorhinchus callorhynchus",0
2013,"I","Cancer coronatus",0
2013,"I","Cancer edwardsi",0
2013,"I","Cancer porteri",0
2013,"I","Cancer setosus",8
2013,"I","Cervimunida johni",0
2013,"I","Chaceon chilensis",0
2013,"I","Cheilodactylus variegatus",0
2013,"I","Chlamys vitrea",0
2013,"I","Choromytilus chorus",0
2013,"I","Chorus giganteus",0
2013,"I","Cilus gilberti",0
2013,"I","Concholepas concholepas",67
2013,"I","Coryphaena hippurus",13
2013,"I","Dipturus trachyderma",0
2013,"I","Dissostichus eleginoides",72
2013,"I","Dosidicus gigas",0
2013,"I","Durvillaea antarctica",0
2013,"I","Eleginops maclovinus",0
2013,"I","Engraulis ringens",0
2013,"I","Ensis macha",0
2013,"I","Enteroctopus megalocyathus",0
2013,"I","Epigonus crassicaudus",0
2013,"I","Ethmidium maculatum",0
2013,"I","Fissurella latimarginata",0
2013,"I","Galaxias maculatus",0
2013,"I","Gari solida",0
2013,"I","Genypterus blacodes",0
2013,"I","Genypterus chilensis",0
2013,"I","Genypterus maculatus",0
2013,"I","Haliotis discus hannai",0
2013,"I","Haliotis rufescens",0
2013,"I","Haliporoides diomedeae",0
2013,"I","Helicolenus lengerichi",0
2013,"I","Heterocarpus reedi",0
2013,"I","Homalaspis plana",0
2013,"I","Isurus oxyrinchus",7
2013,"I","Lithodes santolla",0
2013,"I","Loxechinus albus",121
2013,"I","Macruronus magellanicus",0
2013,"I","Merluccius australis",0
2013,"I","Merluccius gayi gayi",0
2013,"I","Mesodesma donacium",0
2013,"I","Micromesistius australis",0
2013,"I","Mulinia edulis",0
2013,"I","Mustelus mento",0
2013,"I","Mytilus chilensis",0
2013,"I","Octopus (vulgaris) mimus",35
2013,"I","Odontesthes regia",0
2013,"I","Oncorhynchus kisutch",0
2013,"I","Oncorhynchus mykiss",0
2013,"I","Oncorhynchus tshawytscha",0
2013,"I","Ophichthus spp.",0
2013,"I","Ovalipes trimaculatus",0
2013,"I","Paralabrax humeralis",0
2013,"I","Paralomis granulosa",0
2013,"I","Pinguipes chilensis",0
2013,"I","Pleuroncodes monodon",0
2013,"I","Prionace glauca",0
2013,"I","Prolatilus jugularis",0
2013,"I","Pyura chilensis",0
2013,"I","Ruvettus pretiosus",0
2013,"I","Salilota australis",0
2013,"I","Salmo salar",0
2013,"I","Sardinops sagax",0
2013,"I","Scomber japonicus",9
2013,"I","Scophtalmus maximus",0
2013,"I","Semele solida",0
2013,"I","Seriola lalandi",0
2013,"I","Seriolella caerulea",0
2013,"I","Seriolella punctata",0
2013,"I","Strangomera bentincki",0
2013,"I","Tagelus dombeii",0
2013,"I","Taliepus marginatus",0
2013,"I","Tawera gayi",0
2013,"I","Thais chocolata",42
2013,"I","Thunnus obesus",0
2013,"I","Thyrsites atun",0
2013,"I","Trachurus murphyi",90
2013,"I","Venus antiqua",0
2013,"I","Xantochorus cassidiformis",0
2013,"I","Xiphias gladius",9
2013,"I","Zearaja chilensis",0
2013,"II","Argobuccinum spp.",0
2013,"II","Argopecten purpuratus",0
2013,"II","Athyonidium chilensis",0
2013,"II","Aulacomya ater",0
2013,"II","Austromegabalanus psittacus",0
2013,"II","Brama australis",0
2013,"II","Callorhinchus callorhynchus",0
2013,"II","Cancer coronatus",0
2013,"II","Cancer edwardsi",0
2013,"II","Cancer porteri",0
2013,"II","Cancer setosus",0
2013,"II","Cervimunida johni",0
2013,"II","Chaceon chilensis",0
2013,"II","Cheilodactylus variegatus",0
2013,"II","Chlamys vitrea",0
2013,"II","Choromytilus chorus",0
2013,"II","Chorus giganteus",0
2013,"II","Cilus gilberti",0
2013,"II","Concholepas concholepas",24
2013,"II","Coryphaena hippurus",0
2013,"II","Dipturus trachyderma",0
2013,"II","Dissostichus eleginoides",0
2013,"II","Dosidicus gigas",0
2013,"II","Durvillaea antarctica",0
2013,"II","Eleginops maclovinus",0
2013,"II","Engraulis ringens",0
2013,"II","Ensis macha",0
2013,"II","Enteroctopus megalocyathus",0
