"year","region","sc_name","total_NHC"
2013,"I","Brama australis",0
2013,"I","Chondracanthus chamissoi",0
2013,"I","Dosidicus gigas",29
2013,"I","Durvillaea antarctica",0
2013,"I","Engraulis ringens",406246
2013,"I","Ethmidium maculatum",0
2013,"I","Gelidium rex",0
2013,"I","Gigartina skottsbergii",0
2013,"I","Gracilaria spp.",0
2013,"I","Haematococcus pluvialis",8
2013,"I","Isacia conceptionis",0
2013,"I","Lessonia nigrescens",3925
2013,"I","Lessonia trabeculata",496
2013,"I","Loligo gahi",0
2013,"I","Macrocystis spp.",1218
2013,"I","Macruronus magellanicus",0
2013,"I","Mazzaella laminarioides",0
2013,"I","Normanichthys crockeri",545
2013,"I","Odontesthes regia",24
2013,"I","Pescado",0
2013,"I","Pleuroncodes sp",26
2013,"I","Porphyra columbina",0
2013,"I","Sarcothalia crispata",0
2013,"I","Sardinops sagax",0
2013,"I","Scomber japonicus",5505
2013,"I","Scomberesox saurus scombroides",7760
2013,"I","Spirulina spp.",6
2013,"I","Sprattus fuegensis",0
2013,"I","Strangomera bentincki",0
2013,"I","Stromateus stellatus",0
2013,"I","Trachurus murphyi",8243
2013,"II","Brama australis",0
2013,"II","Chondracanthus chamissoi",0
2013,"II","Dosidicus gigas",26
2013,"II","Durvillaea antarctica",0
2013,"II","Engraulis ringens",100779
2013,"II","Ethmidium maculatum",0
2013,"II","Gelidium rex",0
2013,"II","Gigartina skottsbergii",0
2013,"II","Gracilaria spp.",0
2013,"II","Haematococcus pluvialis",0
2013,"II","Isacia conceptionis",0
2013,"II","Lessonia nigrescens",17643
2013,"II","Lessonia trabeculata",1170
2013,"II","Loligo gahi",0
2013,"II","Macrocystis spp.",1469
2013,"II","Macruronus magellanicus",0
2013,"II","Mazzaella laminarioides",0
2013,"II","Normanichthys crockeri",0
2013,"II","Odontesthes regia",0
2013,"II","Pescado",2
2013,"II","Pleuroncodes sp",0
2013,"II","Porphyra columbina",0
2013,"II","Sarcothalia crispata",0
2013,"II","Sardinops sagax",0
2013,"II","Scomber japonicus",749
2013,"II","Scomberesox saurus scombroides",264
2013,"II","Spirulina spp.",0
2013,"II","Sprattus fuegensis",0
2013,"II","Strangomera bentincki",0
2013,"II","Stromateus stellatus",0
2013,"II","Trachurus murphyi",3827
2013,"III","Brama australis",0
2013,"III","Chondracanthus chamissoi",0
2013,"III","Dosidicus gigas",113
2013,"III","Durvillaea antarctica",223
2013,"III","Engraulis ringens",22079
2013,"III","Ethmidium maculatum",0
2013,"III","Gelidium rex",0
2013,"III","Gigartina skottsbergii",0
2013,"III","Gracilaria spp.",0
2013,"III","Haematococcus pluvialis",0
2013,"III","Isacia conceptionis",0
2013,"III","Lessonia nigrescens",38406
2013,"III","Lessonia trabeculata",2881
2013,"III","Loligo gahi",0
2013,"III","Macrocystis spp.",798
2013,"III","Macruronus magellanicus",0
2013,"III","Mazzaella laminarioides",0
2013,"III","Normanichthys crockeri",11754
2013,"III","Odontesthes regia",0
2013,"III","Pescado",0
2013,"III","Pleuroncodes sp",0
2013,"III","Porphyra columbina",0
2013,"III","Sarcothalia crispata",0
2013,"III","Sardinops sagax",0
2013,"III","Scomber japonicus",7256
2013,"III","Scomberesox saurus scombroides",0
2013,"III","Spirulina spp.",0
2013,"III","Sprattus fuegensis",0
2013,"III","Strangomera bentincki",0
2013,"III","Stromateus stellatus",0
2013,"III","Trachurus murphyi",2900
2013,"IV","Brama australis",0
2013,"IV","Chondracanthus chamissoi",20
2013,"IV","Dosidicus gigas",1520
2013,"IV","Durvillaea antarctica",125
2013,"IV","Engraulis ringens",11937
2013,"IV","Ethmidium maculatum",3651
2013,"IV","Gelidium rex",0
2013,"IV","Gigartina skottsbergii",0
2013,"IV","Gracilaria spp.",187
2013,"IV","Haematococcus pluvialis",0
2013,"IV","Isacia conceptionis",1
2013,"IV","Lessonia nigrescens",4430
2013,"IV","Lessonia trabeculata",2085
2013,"IV","Loligo gahi",0
2013,"IV","Macrocystis spp.",1242
2013,"IV","Macruronus magellanicus",0
2013,"IV","Mazzaella laminarioides",0
2013,"IV","Normanichthys crockeri",1223
2013,"IV","Odontesthes regia",0
2013,"IV","Pescado",33
2013,"IV","Pleuroncodes sp",0
2013,"IV","Porphyra columbina",0
2013,"IV","Sarcothalia crispata",0
2013,"IV","Sardinops sagax",7
2013,"IV","Scomber japonicus",1281
2013,"IV","Scomberesox saurus scombroides",0
2013,"IV","Spirulina spp.",0
2013,"IV","Sprattus fuegensis",0
2013,"IV","Strangomera bentincki",0
2013,"IV","Stromateus stellatus",0
2013,"IV","Trachurus murphyi",12608
2013,"IX","Brama australis",0
2013,"IX","Chondracanthus chamissoi",0
2013,"IX","Dosidicus gigas",0
2013,"IX","Durvillaea antarctica",0
2013,"IX","Engraulis ringens",0
2013,"IX","Ethmidium maculatum",0
2013,"IX","Gelidium rex",0
2013,"IX","Gigartina skottsbergii",0
2013,"IX","Gracilaria spp.",0
2013,"IX","Haematococcus pluvialis",0
2013,"IX","Isacia conceptionis",0
2013,"IX","Lessonia nigrescens",0
2013,"IX","Lessonia trabeculata",0
2013,"IX","Loligo gahi",0
2013,"IX","Macrocystis spp.",0
2013,"IX","Macruronus magellanicus",0
2013,"IX","Mazzaella laminarioides",0
2013,"IX","Normanichthys crockeri",0
2013,"IX","Odontesthes regia",0
2013,"IX","Pescado",0
2013,"IX","Pleuroncodes sp",0
2013,"IX","Porphyra columbina",0
2013,"IX","Sarcothalia crispata",0
2013,"IX","Sardinops sagax",0
2013,"IX","Scomber japonicus",0
2013,"IX","Scomberesox saurus scombroides",0
2013,"IX","Spirulina spp.",0
2013,"IX","Sprattus fuegensis",0
2013,"IX","Strangomera bentincki",0
2013,"IX","Stromateus stellatus",0
2013,"IX","Trachurus murphyi",0
2013,"RM","Brama australis",0
2013,"RM","Chondracanthus chamissoi",0
2013,"RM","Dosidicus gigas",0
2013,"RM","Durvillaea antarctica",0
2013,"RM","Engraulis ringens",0
2013,"RM","Ethmidium maculatum",0
2013,"RM","Gelidium rex",36
2013,"RM","Gigartina skottsbergii",111
2013,"RM","Gracilaria spp.",296
2013,"RM","Haematococcus pluvialis",0
2013,"RM","Isacia conceptionis",0
2013,"RM","Lessonia nigrescens",26
2013,"RM","Lessonia trabeculata",0
2013,"RM","Loligo gahi",0
2013,"RM","Macrocystis spp.",75
2013,"RM","Macruronus magellanicus",0
2013,"RM","Mazzaella laminarioides",74
2013,"RM","Normanichthys crockeri",0
2013,"RM","Odontesthes regia",0
2013,"RM","Pescado",0
2013,"RM","Pleuroncodes sp",0
2013,"RM","Porphyra columbina",0
2013,"RM","Sarcothalia crispata",1294
2013,"RM","Sardinops sagax",0
2013,"RM","Scomber japonicus",0
2013,"RM","Scomberesox saurus scombroides",0
2013,"RM","Spirulina spp.",0
2013,"RM","Sprattus fuegensis",0
2013,"RM","Strangomera bentincki",0
2013,"RM","Stromateus stellatus",0
2013,"RM","Trachurus murphyi",0
2013,"V","Brama australis",0
2013,"V","Chondracanthus chamissoi",0
2013,"V","Dosidicus gigas",0
2013,"V","Durvillaea antarctica",221
2013,"V","Engraulis ringens",4460
2013,"V","Ethmidium maculatum",372
2013,"V","Gelidium rex",32
2013,"V","Gigartina skottsbergii",90
2013,"V","Gracilaria spp.",7417
2013,"V","Haematococcus pluvialis",0
2013,"V","Isacia conceptionis",0
2013,"V","Lessonia nigrescens",1998
2013,"V","Lessonia trabeculata",748
2013,"V","Loligo gahi",0
2013,"V","Macrocystis spp.",67
2013,"V","Macruronus magellanicus",0
2013,"V","Mazzaella laminarioides",132
2013,"V","Normanichthys crockeri",3161
2013,"V","Odontesthes regia",0
2013,"V","Pescado",0
2013,"V","Pleuroncodes sp",0
2013,"V","Porphyra columbina",0
2013,"V","Sarcothalia crispata",94
2013,"V","Sardinops sagax",0
2013,"V","Scomber japonicus",0
2013,"V","Scomberesox saurus scombroides",0
2013,"V","Spirulina spp.",0
2013,"V","Sprattus fuegensis",0
2013,"V","Strangomera bentincki",5120
2013,"V","Stromateus stellatus",4
2013,"V","Trachurus murphyi",0
2013,"VI","Brama australis",0
2013,"VI","Chondracanthus chamissoi",0
2013,"VI","Dosidicus gigas",0
2013,"VI","Durvillaea antarctica",153
2013,"VI","Engraulis ringens",0
2013,"VI","Ethmidium maculatum",0
2013,"VI","Gelidium rex",0
2013,"VI","Gigartina skottsbergii",0
2013,"VI","Gracilaria spp.",0
2013,"VI","Haematococcus pluvialis",0
2013,"VI","Isacia conceptionis",0
2013,"VI","Lessonia nigrescens",77
