"species","region","tons","product","year","sc_name","en_name"
"AGUJILLA","XV",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XV",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XV",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XV",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XV",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XV",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XV",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XV",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XV",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XV",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XV",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XV",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","I",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","I",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","I",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","I",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","I",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","I",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","I",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","I",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","I",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","I",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","I",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","I",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
