"year","region","sc_name","total_NHC"
2013,"I","Brama australis",0
2013,"I","Dosidicus gigas",29
2013,"I","Engraulis ringens",406246
2013,"I","Ethmidium maculatum",0
2013,"I","Isacia conceptionis",0
2013,"I","Loligo gahi",0
2013,"I","Macruronus magellanicus",0
2013,"I","Normanichthys crockeri",545
2013,"I","Odontesthes regia",24
2013,"I","Pescado",0
2013,"I","Pleuroncodes sp",26
2013,"I","Sardinops sagax",0
2013,"I","Scomber japonicus",5505
2013,"I","Scomberesox saurus scombroides",7760
2013,"I","Sprattus fuegensis",0
2013,"I","Strangomera bentincki",0
2013,"I","Stromateus stellatus",0
2013,"I","Trachurus murphyi",8243
2013,"II","Brama australis",0
2013,"II","Dosidicus gigas",26
2013,"II","Engraulis ringens",100779
2013,"II","Ethmidium maculatum",0
2013,"II","Isacia conceptionis",0
2013,"II","Loligo gahi",0
2013,"II","Macruronus magellanicus",0
2013,"II","Normanichthys crockeri",0
2013,"II","Odontesthes regia",0
2013,"II","Pescado",2
2013,"II","Pleuroncodes sp",0
2013,"II","Sardinops sagax",0
2013,"II","Scomber japonicus",749
2013,"II","Scomberesox saurus scombroides",264
2013,"II","Sprattus fuegensis",0
2013,"II","Strangomera bentincki",0
2013,"II","Stromateus stellatus",0
2013,"II","Trachurus murphyi",3827
2013,"III","Brama australis",0
2013,"III","Dosidicus gigas",113
2013,"III","Engraulis ringens",22079
2013,"III","Ethmidium maculatum",0
2013,"III","Isacia conceptionis",0
2013,"III","Loligo gahi",0
2013,"III","Macruronus magellanicus",0
2013,"III","Normanichthys crockeri",11754
2013,"III","Odontesthes regia",0
2013,"III","Pescado",0
2013,"III","Pleuroncodes sp",0
2013,"III","Sardinops sagax",0
2013,"III","Scomber japonicus",7256
2013,"III","Scomberesox saurus scombroides",0
2013,"III","Sprattus fuegensis",0
2013,"III","Strangomera bentincki",0
2013,"III","Stromateus stellatus",0
2013,"III","Trachurus murphyi",2900
2013,"IV","Brama australis",0
2013,"IV","Dosidicus gigas",1520
2013,"IV","Engraulis ringens",11937
2013,"IV","Ethmidium maculatum",3651
2013,"IV","Isacia conceptionis",1
2013,"IV","Loligo gahi",0
2013,"IV","Macruronus magellanicus",0
2013,"IV","Normanichthys crockeri",1223
2013,"IV","Odontesthes regia",0
2013,"IV","Pescado",33
2013,"IV","Pleuroncodes sp",0
2013,"IV","Sardinops sagax",7
2013,"IV","Scomber japonicus",1281
2013,"IV","Scomberesox saurus scombroides",0
2013,"IV","Sprattus fuegensis",0
2013,"IV","Strangomera bentincki",0
2013,"IV","Stromateus stellatus",0
2013,"IV","Trachurus murphyi",12608
2013,"IX","Brama australis",0
2013,"IX","Dosidicus gigas",0
2013,"IX","Engraulis ringens",0
2013,"IX","Ethmidium maculatum",0
2013,"IX","Isacia conceptionis",0
2013,"IX","Loligo gahi",0
2013,"IX","Macruronus magellanicus",0
2013,"IX","Normanichthys crockeri",0
2013,"IX","Odontesthes regia",0
2013,"IX","Pescado",0
2013,"IX","Pleuroncodes sp",0
2013,"IX","Sardinops sagax",0
2013,"IX","Scomber japonicus",0
2013,"IX","Scomberesox saurus scombroides",0
2013,"IX","Sprattus fuegensis",0
2013,"IX","Strangomera bentincki",0
2013,"IX","Stromateus stellatus",0
2013,"IX","Trachurus murphyi",0
2013,"RM","Brama australis",0
2013,"RM","Dosidicus gigas",0
2013,"RM","Engraulis ringens",0
2013,"RM","Ethmidium maculatum",0
2013,"RM","Isacia conceptionis",0
2013,"RM","Loligo gahi",0
2013,"RM","Macruronus magellanicus",0
2013,"RM","Normanichthys crockeri",0
2013,"RM","Odontesthes regia",0
2013,"RM","Pescado",0
2013,"RM","Pleuroncodes sp",0
2013,"RM","Sardinops sagax",0
2013,"RM","Scomber japonicus",0
2013,"RM","Scomberesox saurus scombroides",0
2013,"RM","Sprattus fuegensis",0
2013,"RM","Strangomera bentincki",0
2013,"RM","Stromateus stellatus",0
2013,"RM","Trachurus murphyi",0
2013,"V","Brama australis",0
2013,"V","Dosidicus gigas",0
2013,"V","Engraulis ringens",4460
2013,"V","Ethmidium maculatum",372
2013,"V","Isacia conceptionis",0
2013,"V","Loligo gahi",0
2013,"V","Macruronus magellanicus",0
2013,"V","Normanichthys crockeri",3161
2013,"V","Odontesthes regia",0
2013,"V","Pescado",0
2013,"V","Pleuroncodes sp",0
2013,"V","Sardinops sagax",0
2013,"V","Scomber japonicus",0
2013,"V","Scomberesox saurus scombroides",0
2013,"V","Sprattus fuegensis",0
2013,"V","Strangomera bentincki",5120
2013,"V","Stromateus stellatus",4
2013,"V","Trachurus murphyi",0
2013,"VI","Brama australis",0
2013,"VI","Dosidicus gigas",0
2013,"VI","Engraulis ringens",0
2013,"VI","Ethmidium maculatum",0
2013,"VI","Isacia conceptionis",0
2013,"VI","Loligo gahi",0
2013,"VI","Macruronus magellanicus",0
2013,"VI","Normanichthys crockeri",0
2013,"VI","Odontesthes regia",0
2013,"VI","Pescado",0
2013,"VI","Pleuroncodes sp",0
2013,"VI","Sardinops sagax",0
2013,"VI","Scomber japonicus",0
2013,"VI","Scomberesox saurus scombroides",0
2013,"VI","Sprattus fuegensis",0
2013,"VI","Strangomera bentincki",0
2013,"VI","Stromateus stellatus",0
2013,"VI","Trachurus murphyi",0
2013,"VII","Brama australis",0
2013,"VII","Dosidicus gigas",0
2013,"VII","Engraulis ringens",0
2013,"VII","Ethmidium maculatum",0
2013,"VII","Isacia conceptionis",0
2013,"VII","Loligo gahi",0
2013,"VII","Macruronus magellanicus",0
2013,"VII","Normanichthys crockeri",0
2013,"VII","Odontesthes regia",0
2013,"VII","Pescado",0
2013,"VII","Pleuroncodes sp",0
2013,"VII","Sardinops sagax",0
2013,"VII","Scomber japonicus",0
2013,"VII","Scomberesox saurus scombroides",0
2013,"VII","Sprattus fuegensis",0
2013,"VII","Strangomera bentincki",0
2013,"VII","Stromateus stellatus",0
2013,"VII","Trachurus murphyi",0
2013,"VIII","Brama australis",3
2013,"VIII","Dosidicus gigas",1513
2013,"VIII","Engraulis ringens",34188
2013,"VIII","Ethmidium maculatum",2402
2013,"VIII","Isacia conceptionis",0
2013,"VIII","Loligo gahi",12
2013,"VIII","Macruronus magellanicus",4771
2013,"VIII","Normanichthys crockeri",28890
2013,"VIII","Odontesthes regia",5
2013,"VIII","Pescado",169
2013,"VIII","Pleuroncodes sp",0
2013,"VIII","Sardinops sagax",0
2013,"VIII","Scomber japonicus",8750
2013,"VIII","Scomberesox saurus scombroides",4
2013,"VIII","Sprattus fuegensis",0
2013,"VIII","Strangomera bentincki",178575
2013,"VIII","Stromateus stellatus",1196
2013,"VIII","Trachurus murphyi",35425
2013,"X","Brama australis",0
2013,"X","Dosidicus gigas",0
2013,"X","Engraulis ringens",180
2013,"X","Ethmidium maculatum",0
2013,"X","Isacia conceptionis",0
2013,"X","Loligo gahi",0
2013,"X","Macruronus magellanicus",0
2013,"X","Normanichthys crockeri",38
2013,"X","Odontesthes regia",0
2013,"X","Pescado",1
2013,"X","Pleuroncodes sp",1
2013,"X","Sardinops sagax",0
2013,"X","Scomber japonicus",0
2013,"X","Scomberesox saurus scombroides",0
2013,"X","Sprattus fuegensis",20957
2013,"X","Strangomera bentincki",4646
2013,"X","Stromateus stellatus",0
2013,"X","Trachurus murphyi",4
2013,"XI","Brama australis",0
2013,"XI","Dosidicus gigas",0
2013,"XI","Engraulis ringens",0
2013,"XI","Ethmidium maculatum",0
2013,"XI","Isacia conceptionis",0
2013,"XI","Loligo gahi",0
2013,"XI","Macruronus magellanicus",0
2013,"XI","Normanichthys crockeri",0
2013,"XI","Odontesthes regia",0
2013,"XI","Pescado",0
2013,"XI","Pleuroncodes sp",0
2013,"XI","Sardinops sagax",0
2013,"XI","Scomber japonicus",0
2013,"XI","Scomberesox saurus scombroides",0
2013,"XI","Sprattus fuegensis",0
2013,"XI","Strangomera bentincki",0
2013,"XI","Stromateus stellatus",0
2013,"XI","Trachurus murphyi",0
2013,"XII","Brama australis",0
2013,"XII","Dosidicus gigas",0
2013,"XII","Engraulis ringens",0
2013,"XII","Ethmidium maculatum",0
2013,"XII","Isacia conceptionis",0
2013,"XII","Loligo gahi",0
2013,"XII","Macruronus magellanicus",0
2013,"XII","Normanichthys crockeri",0
2013,"XII","Odontesthes regia",0
2013,"XII","Pescado",0
2013,"XII","Pleuroncodes sp",0
2013,"XII","Sardinops sagax",0
2013,"XII","Scomber japonicus",0
2013,"XII","Scomberesox saurus scombroides",0
2013,"XII","Sprattus fuegensis",0
2013,"XII","Strangomera bentincki",0
2013,"XII","Stromateus stellatus",0
2013,"XII","Trachurus murphyi",0
2013,"XIV","Brama australis",0
2013,"XIV","Dosidicus gigas",0
2013,"XIV","Engraulis ringens",3311
2013,"XIV","Ethmidium maculatum",0
2013,"XIV","Isacia conceptionis",0
2013,"XIV","Loligo gahi",0
2013,"XIV","Macruronus magellanicus",0
2013,"XIV","Normanichthys crockeri",8358
2013,"XIV","Odontesthes regia",1
2013,"XIV","Pescado",0
2013,"XIV","Pleuroncodes sp",0
2013,"XIV","Sardinops sagax",0
2013,"XIV","Scomber japonicus",0
2013,"XIV","Scomberesox saurus scombroides",0
2013,"XIV","Sprattus fuegensis",0
2013,"XIV","Strangomera bentincki",44880
2013,"XIV","Stromateus stellatus",429
2013,"XIV","Trachurus murphyi",0
2013,"XV","Brama australis",0
2013,"XV","Dosidicus gigas",1
2013,"XV","Engraulis ringens",196271
2013,"XV","Ethmidium maculatum",1098
2013,"XV","Isacia conceptionis",0
2013,"XV","Loligo gahi",0
2013,"XV","Macruronus magellanicus",0
2013,"XV","Normanichthys crockeri",13
2013,"XV","Odontesthes regia",4
2013,"XV","Pescado",0
2013,"XV","Pleuroncodes sp",0
2013,"XV","Sardinops sagax",0
2013,"XV","Scomber japonicus",1245
2013,"XV","Scomberesox saurus scombroides",24
2013,"XV","Sprattus fuegensis",0
2013,"XV","Strangomera bentincki",0
2013,"XV","Stromateus stellatus",0
2013,"XV","Trachurus murphyi",3940
2014,"I","Brama australis",0
2014,"I","Cilus gilberti",0
2014,"I","Dosidicus gigas",58
2014,"I","Engraulis ringens",383043
2014,"I","Ethmidium maculatum",0
2014,"I","Isacia conceptionis",0
2014,"I","Loligo gahi",0
2014,"I","Macruronus magellanicus",0
2014,"I","Normanichthys crockeri",12
2014,"I","Odontesthes regia",18
2014,"I","Pescado",0
2014,"I","Pleuroncodes monodon",0
2014,"I","Pleuroncodes sp",130
2014,"I","Sardinops sagax",0
2014,"I","Sciaena deliciosa",0
2014,"I","Scomber japonicus",4368
2014,"I","Scomberesox saurus scombroides",360
2014,"I","Seriolella caerulea",0
2014,"I","Sprattus fuegensis",0
2014,"I","Strangomera bentincki",0
2014,"I","Stromateus stellatus",0
2014,"I","Thyrsites atun",0
2014,"I","Trachurus murphyi",13071
2014,"II","Brama australis",0
2014,"II","Cilus gilberti",0
2014,"II","Dosidicus gigas",12
2014,"II","Engraulis ringens",77228
2014,"II","Ethmidium maculatum",0
2014,"II","Isacia conceptionis",0
2014,"II","Loligo gahi",0
2014,"II","Macruronus magellanicus",0
2014,"II","Normanichthys crockeri",0
2014,"II","Odontesthes regia",2
2014,"II","Pescado",135
2014,"II","Pleuroncodes monodon",0
2014,"II","Pleuroncodes sp",0
2014,"II","Sardinops sagax",89
2014,"II","Sciaena deliciosa",0
2014,"II","Scomber japonicus",2308
2014,"II","Scomberesox saurus scombroides",22
2014,"II","Seriolella caerulea",0
2014,"II","Sprattus fuegensis",0
2014,"II","Strangomera bentincki",0
2014,"II","Stromateus stellatus",0
2014,"II","Thyrsites atun",0
2014,"II","Trachurus murphyi",3107
2014,"III","Brama australis",0
2014,"III","Cilus gilberti",0
2014,"III","Dosidicus gigas",0
2014,"III","Engraulis ringens",3418
2014,"III","Ethmidium maculatum",0
2014,"III","Isacia conceptionis",8
2014,"III","Loligo gahi",0
2014,"III","Macruronus magellanicus",0
2014,"III","Normanichthys crockeri",510
2014,"III","Odontesthes regia",0
2014,"III","Pescado",0
2014,"III","Pleuroncodes monodon",0
2014,"III","Pleuroncodes sp",0
2014,"III","Sardinops sagax",1
2014,"III","Sciaena deliciosa",0
2014,"III","Scomber japonicus",5026
2014,"III","Scomberesox saurus scombroides",1
2014,"III","Seriolella caerulea",0
2014,"III","Sprattus fuegensis",0
2014,"III","Strangomera bentincki",0
2014,"III","Stromateus stellatus",0
2014,"III","Thyrsites atun",0
2014,"III","Trachurus murphyi",3650
2014,"IV","Brama australis",0
2014,"IV","Cilus gilberti",0
2014,"IV","Dosidicus gigas",5
2014,"IV","Engraulis ringens",20263
2014,"IV","Ethmidium maculatum",2275
2014,"IV","Isacia conceptionis",0
2014,"IV","Loligo gahi",0
2014,"IV","Macruronus magellanicus",0
