"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2013,0,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",13.05225
2013,0,"ALGAS MIXTAS",NA,0.651
2013,0,"CARACOL PALO PALO","Argobuccinum spp.",0.09747
2013,0,"CAROLA","Callophyllis variegata",0.651
2013,0,"CENTOLLA","Lithodes santolla",0.12533
2013,0,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",26.046
2013,0,"CHOLGA","Aulacomya ater",1.42695
2013,0,"CHORO","Choromytilus chorus",1.42695
2013,0,"CULENGUE","Gari solida",0.00066
2013,0,"ERIZO","Loxechinus albus",0.04066
2013,0,"HUEPO O NAVAJA DE MAR","Ensis macha",0.08446
2013,0,"JAIBA","Cancer spp.",0.00066
2013,0,"JAIBA LIMON","Cancer porteri",0.00066
2013,0,"JAIBA MARMOLA","Cancer edwardsi",0.00066
2013,0,"JAIBA MORA","Homalaspis plana",0.00066
2013,0,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",0.00066
2013,0,"JAIBA PELUDA O PACHONA","Cancer setosus",0.00066
2013,0,"JAIBA REINA","Cancer coronatus",0.00066
2013,0,"JAIBA REMADORA","Ovalipes trimaculatus",0.00066
2013,0,"JULIANA O TAWERA","Tawera gayi",0.41474
2013,0,"JUREL","Trachurus murphyi",3.865
2013,0,"LANGOSTINO AMARILLO","Cervimunida johni",0.108
2013,0,"LANGOSTINO COLORADO","Pleuroncodes monodon",0.24216
2013,0,"LOCO","Concholepas concholepas",0.03125
2013,0,"MACHA","Mesodesma donacium",0.00066
2013,0,"MERLUZA COMUN","Merluccius gayi gayi",0.15537
2013,0,"MERLUZA DE COLA","Macruronus magellanicus",0.0044
2013,0,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",0.0044
2013,0,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",0.17886
2013,0,"NAVAJUELA","Tagelus dombeii",0.00353
2013,0,"OSTION DEL NORTE","Argopecten purpuratus",0.01127
2013,0,"PELILLO","Gracilaria spp.",0.11296
2013,0,"REINETA","Brama australis",0.25966
2013,0,"SALMON REY","Oncorhynchus tshawytscha",0.53612
2013,0,"SARDINA AUSTRAL","Sprattus fuegensis",0.0045
2013,0,"SARDINA COMUN","Strangomera bentincki",0.0045
2013,0,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",0.407
2013,1,"ALGAS MIXTAS",NA,416.845
2013,1,"CAROLA","Callophyllis variegata",416.845
2013,1,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",9360.2878
2013,1,"CHOLGA","Aulacomya ater",25.5
2013,1,"CHORO","Choromytilus chorus",25.5
2013,1,"ERIZO","Loxechinus albus",5.8425
2013,1,"HUIRO","Macrocystis spp.",1094.462
2013,1,"JUREL","Trachurus murphyi",75.395
2013,2,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",8429.108
2013,2,"COCHAYUYO","Durvillaea antarctica",55.425
2013,2,"HUIRO","Macrocystis spp.",307.61
2013,2,"SALMON REY","Oncorhynchus tshawytscha",24.2
