"year","trade_name","landing","aquaculture","NHC","export","import","mean_yield","HC","per_cap_kg"
2013,"Algae",517929,12468,524335,82503.67292,0,0.75,-77957.17292," -4388.81793351"
2013,"American Elephantfish",221,0,0,0,0,0.5,110.5,"     6.22090776"
2013,"Cabinza grunt",42,0,1,0,0,0.5,20.5,"     1.15410506"
2013,"Channel catfish",2,0,0,0,0,0.475,0.95,"     0.05348292"
2013,"Chilean grenadier",91,0,0,0,0,0.5,45.5,"     2.56155025"
2013,"Chilean sandperch",31,0,0,0,0,0.5,15.5,"     0.87261602"
2013,"Chilean silverside",760,0,34,430.3706,0,0.425,-121.8206,"    -6.85823272"
2013,"Chilean tunicate",1121,0,0,0,0,0.125,140.125,"     7.88873031"
2013,"Clams",14185,0,0,838.72629,14.6475,0.225,2367.54621,"   133.28766136"
2013,"Common galaxias",2,0,0,0,0,0.5,1,"     0.05629781"
2013,"Corvina drum",533,0,0,51.327,0,0.55,241.823,"    13.61410476"
2013,"Crab",5,0,0,0,0,0.225,1.125,"     0.06333503"
2013,"Crabs",5478,0,0,451.38456,115.99544,0.225,897.16088,"    50.50819074"
2013,"Cusk-eel",2790,0,0,753.37875,0,0.5,641.62125,"    36.12186978"
2013,"Eel",142,0,0,71.033,0.0075,0.4,-14.2255,"    -0.80086446"
2013,"Flathead grey mullet",56,0,0,0,0,0.6,33.6,"     1.89160634"
2013,"Flounders",17,0,0,0,0,0.5,8.5,"     0.47853137"
2013,"Giant barnacle",111,0,0,0,0,0.125,13.875,"     0.78113208"
2013,"Grape-eye seabass",12,0,0,0,0,0.525,6.3,"     0.35467619"
2013,"Hake",119152,0,4771,22075.59329,259.401,0.5,35374.30771,"  1991.49597462"
2013,"Huaiquil",1,0,0,0,0,0.5,0.5,"     0.02814890"
2013,"Jack mackerel",231360,0,66947,134526.80638,9703.52626,0.5,-42616.78012," -2399.23129397"
2013,"Jerguilla",13,0,0,0,0,0.5,6.5,"     0.36593575"
