"year","trade_name","landing_aqua","NHC","export","import","mean_yield","HC"
2013,"Abalone",1134,0,11.47402,0,0.225,243.67598
2013,"Algae",530450,524388,82503.67292,0,0.75,-77957.17292
2013,"American Elephantfish",221,0,0,0,0.5,110.5
2013,"Anchovy",0,0,0.386,14.9227,0.55,14.5367
2013,"Cabinza grunt",42,1,0,0,0.5,20.5
2013,"Chalapo clinid",0,0,0,0,0.5,0
2013,"Chilean grenadier",91,0,0,0,0.5,45.5
2013,"Chilean sandperch",31,0,0,0,0.5,15.5
2013,"Chilean silverside",760,34,430.3706,0,0.425,-121.8206
2013,"Chilean tunicate",1121,0,0,0,0.125,140.125
2013,"Clams",14185,0,838.72629,14.6475,0.225,2367.54621
2013,"Common galaxias",2,0,0,0,0.5,1
2013,"Corvina drum",1563,0,51.327,0,0.55,808.323
2013,"Crabs",5483,0,451.38456,115.99544,0.225,898.28588
2013,"Cusk-eel",2790,0,753.37875,0,0.5,641.62125
2013,"Eel",142,0,71.033,0.0075,0.4,-14.2255
2013,"Flathead grey mullet",56,0,0,0,0.6,33.6
2013,"Flounders",17,0,0,0,0.5,8.5
2013,"Giant barnacle",111,0,0,0,0.125,13.875
2013,"Grape-eye seabass",12,0,0,0,0.525,6.3
2013,"Hake",119152,4771,22075.59329,259.401,0.5,35374.30771
2013,"Hapuku wreckfish",0,0,0,0,0.424,0
2013,"Huaiquil",1,0,0,0,0.5,0.5
2013,"Jack mackerel",231360,66947,134526.80638,9703.52626,0.5,-42616.78012
2013,"Jellyfish",0,0,0,0,1,0
2013,"Jerguilla",13,0,0,0,0.5,6.5
2013,"King crab",8702,0,4636.41976,0.13608,0.24375,-2515.17118
2013,"King gar",8094,8052,0,0,0.5,21
2013,"Langostinos",11461,27,1009.04396,0,0.225,1563.60604
2013,"Limpet",1022,0,0,0,0.266428571428571,272.29
2013,"Lobsters",93,0,15.782,0,0.225,5.143
2013,"Loco",2067,0,398.51281,0,0.225,66.56219
2013,"Lorna drum",37,0,0,0,0.525,19.425
2013,"Machas",2741,0,103.08795,6.9234,0.225,520.56045
2013,"Mackerel",33619,24786,38.2198,174.60743,0.6,5436.18763
2013,"Mackerel icefish",234,0,247.10344,0,0.55,-118.40344
2013,"Mahi Mahi",0,0,18.6004,0,0.6,-18.6004
2013,"Marlin",10,0,0,0,0.4875,4.875
2013,"Mote sculpin",55045,53982,0,0,0.5,531.5
2013,"Mussels",264811,0,69986.95334,460.81005,0.175,-23184.21829
2013,"Navaja de mar",2343,0,867.81112,4.89477,0.225,-335.74135
2013,"Navajuela",5577,0,1481.66505,4.53967,0.225,-222.30038
2013,"Navodon",34,0,0,0,0.5,17
2013,"Octopus",1796,0,1.037,0.4732,0.725,1301.5362
2013,"Orange roughy",0,0,0,0,0.5,0
2013,"Other crustaceans",6934,0,0,0.2724,0.2,1387.0724
2013,"Other fish",407,205,0.048,956.55708,0.5,1057.50908
2013,"Other mollusks",9,0,0,37.37401,0.225,39.39901
2013,"Oyster",250,0,8.063,0.06109,0.125,23.24809
2013,"Pacific chub",2,0,0,0,0.5,1
2013,"Pacific menhaden",7660,7523,0,0,0.55,75.35
2013,"Pacific sandperch",61,0,0,0,0.5,30.5
2013,"Patagonian blennie",170,0,0,0,0.5,85
2013,"Patagonian toothfish",4090,0,3946.03503,0,0.424,-2211.87503
2013,"Pejesapo",4,0,0,0,0.5,2
2013,"Peruvian anchoveta",803404,779451,96.09667,0,0.55,13078.05333
2013,"Peruvian banded croaker",3,0,0,0,0.525,1.575
2013,"Peruvian grunt",21,0,0,0,0.525,11.025
2013,"Peruvian morwong",104,0,0,0,0.5,52
2013,"Peruvian rock seabass",185,0,0,0,0.525,97.125
2013,"Peruvian weakfish",1,0,0,0,0.6,0.6
2013,"Prawns",93,0,1.12273,0,0.2,17.47727
2013,"Rainbow runner",0,0,0,0,0.5,0
2013,"Rays",888,0,0,0,0.5,444
2013,"Rockfish helicolenus",36,0,0,0,0.5,18
2013,"Salmon",640466,0,462968.61845,0.35374,0.5,-142735.26471
2013,"Sardines",264249,254185,56.77314,745.74874,0.5,5720.9756
2013,"Scallop",5848,0,123.32243,0.83436,0.15,754.71193
2013,"Sea Chab",0,0,0,0,0.5,0
2013,"Sea bream",24,0,0,0,0.5,12
2013,"Sea cucumber",9,0,35.8014,0,1,-26.8014
2013,"Sea urchin",30446,0,473.08386,0,0.075,1810.36614
2013,"Shark",523,0,0,0,0.5525,288.9575
2013,"Sheephead",3,0,0,0,0.5,1.5
2013,"Shrimp",4583,0,505.78497,2460.76561,0.2,2871.58064
2013,"Skipjack tuna",19,0,0,2834.51493,0.5375,2844.72743
2013,"Snails",776,0,110.43271,0.12307,0.2,44.89036
2013,"Southern rays bream",11955,3,413.63721,0,0.5,5562.36279
2013,"Splendid alfonsino",0,0,0,0,0.5,0
2013,"Squid",106286,3214,0,0,0.785,80911.52
2013,"Starry butterfish",1664,1629,0,0,0.5,17.5
2013,"Swordfish",4852,0,1879.02885,0,0.425,183.07115
2013,"Tadpole codling",374,0,243.17508,0,0.5,-56.17508
2013,"Trout",145625,0,121089.16105,0,0.5,-48276.66105
2013,"Tuna",6,0,39.46269,22472.77391,0.475,22436.16122
2013,"Turbot",107,0,0,0,0.5,53.5
2013,"Vieja",7,0,0,0,0.55,3.85
2013,"Warehou",3600,0,1400.68675,0,0.6,759.31325
2013,"Yellowtail amberjack",531,0,0,0,0.551666666666667,292.935
2014,"Abalone",1146,0,2.3232,0,0.225,255.5268
2014,"Algae",430167,449157,75231.53842,0,0.75,-89474.03842
2014,"American Elephantfish",415,0,0,0,0.5,207.5
2014,"Anchovy",0,0,0,25.69067,0.55,25.69067
2014,"Cabinza grunt",82,12,0,0,0.5,35
2014,"Chalapo clinid",0,0,0,0,0.5,0
2014,"Chilean grenadier",54,0,0,0,0.5,27
2014,"Chilean sandperch",25,0,0,0,0.5,12.5
2014,"Chilean silverside",1146,56,563.44668,0,0.425,-100.19668
2014,"Chilean tunicate",1895,0,0,0,0.125,236.875
2014,"Clams",17909,0,893.50007,39.42991,0.225,3175.45484
2014,"Common galaxias",1,0,0,0,0.5,0.5
2014,"Corvina drum",924,5,2.52,0,0.55,502.93
2014,"Crabs",5844,0,438.706,34.98129,0.225,911.17529
2014,"Cusk-eel",1748,0,346.56521,0.3,0.5,527.73479
2014,"Eel",78,0,23.5355,0.00165,0.4,7.66615
2014,"Flathead grey mullet",59,0,0,0,0.6,35.4
2014,"Flounders",18,0,0,0,0.5,9
2014,"Giant barnacle",132,0,0,0,0.125,16.5
2014,"Grape-eye seabass",16,0,0,0,0.525,8.4
