"species","sc_name","grupo_exportacion"
"CHASCA","Gelidium rex","algas"
"CHASCON O HUIRO NEGRO","Lessonia nigrescens","algas"
"CHICOREA DE MAR","Chondracanthus chamissoi","algas"
"COCHAYUYO","Durvillaea antarctica","algas"
"HUIRO","Macrocystis spp.","algas"
"HUIRO PALO","Lessonia trabeculata","algas"
"LECHUGUILLA","Ulva lactuca","algas"
"LIQUEN GOMOSO","Gymnogongrus furcellatus","algas"
"LUCHE","Porphyra columbina","algas"
"LUGA CUCHARA O CORTA","Mazzaella laminarioides","algas"
"LUGA NEGRA O CRESPA","Sarcothalia crispata","algas"
"LUGA-ROJA","Gigartina skottsbergii","algas"
"PELILLO","Gracilaria spp.","algas"
"AGUJILLA","Scomberesox saurus scombroides","NA"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius","pez espada"
"ANCHOVETA","Engraulis ringens","anchoveta"
"ANGUILA","Ophichthus spp.","anguilas"
"ANGUILA BABOSA","Eptatretus polytrema","NA"
"APANADO","Hemilutjanus macrophthalmos","NA"
"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares","atun"
"ATUN ALETA LARGA","Thunnus alalunga","atun"
"ATUN CHAUCHERA","Gatrochisma melampus","NA"
"AZULEJO","Prionace glauca","tiburones"
"BACALADILLO O MOTE","Normanichthys crockeri","NA"
"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides","bacalado_profundo"
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","Ruvettus pretiosus","NA"
"BESUGO","Epigonus crassicaudus","besugo"
"BLANQUILLO","Prolatilus jugularis","NA"
"BONITO","Sarda chiliensis","sarda"
"BRECA O BILAGAY","Cheilodactylus variegatus","NA"
"CABALLA","Scomber japonicus","caballas"
"CABINZA","Isacia conceptionis","NA"
"CABRILLA COMUN","Paralabrax humeralis","NA"
"CABRILLA ESPANOLA","Sebastes capensis","NA"
"CANQUE","Stellifer minor","NA"
"CHANCHARRO","Helicolenus lengerichi","NA"
"CHASQUE O CHALACO","Auchenionchus spp.","NA"
"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea","cojinobas"
"COJINOBA DEL SUR O AZUL","Seriolella caerulea","cojinobas"
"CONGRIO COLORADO","Genypterus chilensis","congrio"
"CONGRIO DORADO","Genypterus blacodes","congrio"
"CONGRIO NEGRO","Genypterus maculatus","congrio"
"CORVINA","Cilus gilberti","corvina"
"DORADO DE ALTURA / MAHI MAHI","Coryphaena hippurus","mahi_mahi"
"EMPERADOR","Luvarus imperialis","NA"
"JERGUILLA","Aplodactylus punctatus","NA"
"JUREL","Trachurus murphyi","jurel"
"JUREL DE JUAN FERNANDEZ","Caranx georgianus","pampanos"
"LENGUADO","Paralichthys spp.","lenguados"
"LENGUADO DE OJOS CHICOS","Paralichthys microps","NA"
"LISA","Mugil cephalus","NA"
"MACHUELO O TRITRE","Ethmidium maculatum","NA"
"MARLIN","Tetrapturus spp., Makaira spp","Istiophoridae"
"MARLIN RAYADO","Tetrapturus audax","Istiophoridae"
"MERLUZA COMUN","Merluccius gayi gayi","merluza"
"MERLUZA DE COLA","Macruronus magellanicus","merluza"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis","merluza"
"MORENA DE ALETA BAJA / KOREHA HA OKO","Gymnothorax porphyreus","NA"
"PAMPANITO","Stromateus stellatus","NA"
"PAMPANITO DE JUAN FERNANDEZ","Scorpis chilensis","NA"
"PEJE GATO HOCICON","Apristurus nasutus","NA"
"PEJEGALLO","Callorhinchus callorhynchus","NA"
"PEJEPERRO","Semicossyphus maculatus","NA"
"PEJERREY DE MAR","Odontesthes regia","pejerreyes"
"PEJESAPO","Sicyases sanguin","NA"
"PESCADO NO CLASIFICADO","NA","NA"
"PEZ SOL","Lampris guttatus","NA"
"PICHIBUENO","Menticirrhus ophicephalus","NA"
"PUYE","Galaxias maculatus","NA"
"RAYA VOLANTIN","Zearaja chilensis","rayas"
"REINETA","Brama australis","reineta"
"ROBALO","Eleginops maclovinus","robalos"
"ROCOCO","Paralonchurus peruanus","NA"
"ROLLIZO","Pinguipes chilensis","NA"
"RONCACHO","Sciaena deliciosa","NA"
"SALMON REY","Oncorhynchus tshawytscha","salmon"
"SARDINA AUSTRAL","Sprattus fuegensis","sardinas"
"SARDINA COMUN","Strangomera bentincki","sardinas"
"SARDINA ESPANOLA","Sardinops sagax","sardinas"
"SARGO","Anisotremus scapularis","sargo"
"SIERRA","Thyrsites atun","NA"
"TIBURON FUME, GRIS O GATA DE MAR","Hexanchus griseus","tiburones"
"TIBURON NARIGON GRIS","Deania calcea","tiburones"
"TIBURON O MARRAJO DENTUDO","Isurus oxyrinchus","tiburones"
"TIBURON SARDINERO","Lamna nasus","tiburones"
"TOLLO","Mustelus mento","tiburones"
"TOLLO DE CACHOS","Squalus acanthias","tiburones"
"TRUCHA ARCOIRIS","Oncorhynchus mykiss","trucha"
"TURBOT","Scophtalmus maximus","turbot"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","Seriola lalandi","NA"
"VIEJA O MULATA","Graus nigra","NA"
"VINCIGUERRIA","Vinciguerria lucetia pacifici","NA"
"ABALON JAPONES","Haliotis discus hannai","abalones"
"ABALON ROJO","Haliotis rufescens","abalones"
"ALMEJA","Venus antiqua","almejas"
"ALMEJA O TACA","Protothaca taca","almejas"
"CALAMAR","Loligo gahi","calamar"
"CARACOL LOCATE","Thais chocolata","caracol"
"CARACOL PALO PALO","Argobuccinum spp.","caracol"
"CARACOL PICUYO","Odontocymbiola magellanica","NA"
"CARACOL REAL O GIGANTE O VOLUTA ANGULOSA","Zidona dufresnei","caracol"
"CARACOL RUBIO","Xantochorus cassidiformis","NA"
"CARACOL TEGULA","Tegula atra","NA"
"CARACOL TRUMULCO","Chorus giganteus","NA"
"CARACOL TROPHON","Trophon geversianus","caracol"
"CHOCHA","Trochita trochiformes","NA"
"CHOLGA","Aulacomya ater","mejillones"
"CHORITO","Mytilus chilensis","mejillones"
"CHORO","Choromytilus chorus","mejillones"
"CULENGUE","Gari solida","culengues"
"HUEPO O NAVAJA DE MAR","Ensis macha","navajas"
"JIBIA O CALAMAR ROJO","Dosidicus gigas","jibias"
"JULIANA O TAWERA","Tawera gayi","almejas"
"LAPA","Fissurella spp.","lapa"
