"","subsector","species","month","international_waters","tons"
"1","artisanal","ACHA O HACHA","ABR",0,NA
"2","artisanal","ACHA O HACHA","AGO",0,NA
"3","artisanal","ACHA O HACHA","DIC",0,NA
"4","artisanal","ACHA O HACHA","ENE",0,NA
"5","artisanal","ACHA O HACHA","FEB",0,NA
"6","artisanal","ACHA O HACHA","JUL",0,NA
"7","artisanal","ACHA O HACHA","JUN",0,1
"8","artisanal","ACHA O HACHA","MAR",0,1
"9","artisanal","ACHA O HACHA","MAY",0,2
"10","artisanal","ACHA O HACHA","NOV",0,NA
"11","artisanal","ACHA O HACHA","OCT",0,NA
"12","artisanal","ACHA O HACHA","SEP",0,NA
"13","artisanal","AGUJILLA","ABR",0,2
"14","artisanal","AGUJILLA","AGO",0,NA
"15","artisanal","AGUJILLA","DIC",0,NA
"16","artisanal","AGUJILLA","ENE",0,10
"17","artisanal","AGUJILLA","FEB",0,NA
"18","artisanal","AGUJILLA","JUL",0,NA
"19","artisanal","AGUJILLA","JUN",0,NA
"20","artisanal","AGUJILLA","MAR",0,NA
"21","artisanal","AGUJILLA","MAY",0,NA
"22","artisanal","AGUJILLA","NOV",0,NA
"23","artisanal","AGUJILLA","OCT",0,NA
"24","artisanal","AGUJILLA","SEP",0,NA
"25","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","ABR",0,383.25
"26","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","ABR",1,19
"27","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","AGO",0,827.25
"28","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","AGO",1,15.6666666666667
"29","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","DIC",0,25.5
"30","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","DIC",1,3
"31","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","ENE",0,1.5
"32","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","ENE",1,NA
"33","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","FEB",0,1
"34","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","FEB",1,NA
"35","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","JUL",0,1082
"36","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","JUL",1,18.5
"37","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","JUN",0,1361.75
"38","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","JUN",1,28
"39","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","MAR",0,32
"40","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","MAR",1,NA
"41","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","MAY",0,1362
"42","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","MAY",1,10.5
"43","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","NOV",0,57.25
"44","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","NOV",1,6
"45","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","OCT",0,195.25
"46","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","OCT",1,20.6666666666667
"47","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","SEP",0,450.5
"48","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","SEP",1,38
"49","artisanal","ALGAS MIXTAS","ABR",0,NA
"50","artisanal","ALGAS MIXTAS","AGO",0,NA
"51","artisanal","ALGAS MIXTAS","DIC",0,NA
"52","artisanal","ALGAS MIXTAS","ENE",0,NA
"53","artisanal","ALGAS MIXTAS","FEB",0,NA
"54","artisanal","ALGAS MIXTAS","JUL",0,NA
"55","artisanal","ALGAS MIXTAS","JUN",0,NA
"56","artisanal","ALGAS MIXTAS","MAR",0,NA
"57","artisanal","ALGAS MIXTAS","MAY",0,4
"58","artisanal","ALGAS MIXTAS","NOV",0,NA
"59","artisanal","ALGAS MIXTAS","OCT",0,NA
"60","artisanal","ALGAS MIXTAS","SEP",0,NA
