"","subsector","species","region","international_waters","tons"
"1","artisanal","ACHA O HACHA","I",0,NA
"2","artisanal","ACHA O HACHA","II",0,NA
"3","artisanal","ACHA O HACHA","III",0,3
"4","artisanal","ACHA O HACHA","IV",0,NA
"5","artisanal","ACHA O HACHA","IX",0,NA
"6","artisanal","ACHA O HACHA","V",0,NA
"7","artisanal","ACHA O HACHA","VI",0,NA
"8","artisanal","ACHA O HACHA","VII",0,NA
"9","artisanal","ACHA O HACHA","VIII",0,NA
"10","artisanal","ACHA O HACHA","X",0,NA
"11","artisanal","ACHA O HACHA","XI",0,NA
"12","artisanal","ACHA O HACHA","XII",0,NA
"13","artisanal","ACHA O HACHA","XIV",0,1
"14","artisanal","ACHA O HACHA","XV",0,NA
"15","artisanal","AGUJILLA","I",0,2
"16","artisanal","AGUJILLA","II",0,NA
"17","artisanal","AGUJILLA","III",0,1
"18","artisanal","AGUJILLA","IV",0,9
"19","artisanal","AGUJILLA","IX",0,NA
"20","artisanal","AGUJILLA","V",0,NA
"21","artisanal","AGUJILLA","VI",0,NA
"22","artisanal","AGUJILLA","VII",0,NA
"23","artisanal","AGUJILLA","VIII",0,NA
"24","artisanal","AGUJILLA","X",0,NA
"25","artisanal","AGUJILLA","XI",0,NA
"26","artisanal","AGUJILLA","XII",0,NA
"27","artisanal","AGUJILLA","XIV",0,NA
"28","artisanal","AGUJILLA","XV",0,NA
"29","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","I",0,254.6
"30","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","I",1,NA
"31","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","II",0,494.8
"32","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","II",1,NA
"33","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","III",0,500.4
"34","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","III",1,NA
"35","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IV",0,1973.8
"36","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IV",1,62.6666666666667
"37","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IX",0,NA
"38","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IX",1,NA
"39","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","R.M.",1,NA
"40","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","V",0,834.4
"41","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","V",1,NA
"42","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VI",0,NA
"43","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VI",1,NA
"44","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VII",0,34
"45","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VII",1,NA
"46","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VIII",0,1631
"47","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VIII",1,46.3333333333333
"48","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","X",0,NA
"49","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","X",1,NA
"50","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XI",0,NA
"51","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XI",1,NA
"52","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XII",0,NA
"53","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XII",1,NA
"54","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XIV",0,94.6666666666667
"55","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XIV",1,NA
"56","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XV",0,6
"57","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XV",1,NA
"58","artisanal","ALGAS MIXTAS","I",0,NA
"59","artisanal","ALGAS MIXTAS","II",0,NA
"60","artisanal","ALGAS MIXTAS","III",0,NA
"61","artisanal","ALGAS MIXTAS","IV",0,NA
"62","artisanal","ALGAS MIXTAS","IX",0,NA
"63","artisanal","ALGAS MIXTAS","V",0,4
"64","artisanal","ALGAS MIXTAS","VI",0,NA
"65","artisanal","ALGAS MIXTAS","VII",0,NA
"66","artisanal","ALGAS MIXTAS","VIII",0,NA
"67","artisanal","ALGAS MIXTAS","X",0,NA
"68","artisanal","ALGAS MIXTAS","XI",0,NA
"69","artisanal","ALGAS MIXTAS","XII",0,NA
"70","artisanal","ALGAS MIXTAS","XIV",0,NA
"71","artisanal","ALGAS MIXTAS","XV",0,NA
"72","artisanal","ALMEJA","I",0,45.2
"73","artisanal","ALMEJA","II",0,70.8
"74","artisanal","ALMEJA","III",0,11
"75","artisanal","ALMEJA","IV",0,8.6
"76","artisanal","ALMEJA","IX",0,NA
"77","artisanal","ALMEJA","V",0,4
"78","artisanal","ALMEJA","VI",0,NA
"79","artisanal","ALMEJA","VII",0,NA
"80","artisanal","ALMEJA","VIII",0,104
"81","artisanal","ALMEJA","X",0,12189
"82","artisanal","ALMEJA","XI",0,366.2
"83","artisanal","ALMEJA","XII",0,72
"84","artisanal","ALMEJA","XIV",0,7.8
"85","artisanal","ALMEJA","XV",0,36.2
"86","artisanal","ANCHOVETA","I",0,26505.8
"87","artisanal","ANCHOVETA","II",0,29579.6
"88","artisanal","ANCHOVETA","III",0,11573.2
"89","artisanal","ANCHOVETA","IV",0,10531
"90","artisanal","ANCHOVETA","IX",0,NA
"91","artisanal","ANCHOVETA","V",0,2635.8
"92","artisanal","ANCHOVETA","VI",0,NA
"93","artisanal","ANCHOVETA","VII",0,NA
"94","artisanal","ANCHOVETA","VIII",0,53393.8
"95","artisanal","ANCHOVETA","X",0,941.6
"96","artisanal","ANCHOVETA","XI",0,NA
"97","artisanal","ANCHOVETA","XII",0,NA
"98","artisanal","ANCHOVETA","XIV",0,1974
"99","artisanal","ANCHOVETA","XV",0,68923.4
"100","artisanal","ANGUILA","I",0,NA
"101","artisanal","ANGUILA","II",0,NA
"102","artisanal","ANGUILA","III",0,NA
"103","artisanal","ANGUILA","IV",0,NA
"104","artisanal","ANGUILA","IX",0,NA
"105","artisanal","ANGUILA","V",0,52.6
"106","artisanal","ANGUILA","VI",0,NA
"107","artisanal","ANGUILA","VII",0,NA
"108","artisanal","ANGUILA","VIII",0,NA
"109","artisanal","ANGUILA","X",0,NA
"110","artisanal","ANGUILA","XI",0,NA
"111","artisanal","ANGUILA","XII",0,NA
"112","artisanal","ANGUILA","XIV",0,NA
"113","artisanal","ANGUILA","XV",0,NA
"114","artisanal","ANGUILA BABOSA","I",0,NA
"115","artisanal","ANGUILA BABOSA","II",0,NA
"116","artisanal","ANGUILA BABOSA","III",0,NA
"117","artisanal","ANGUILA BABOSA","IV",0,8
"118","artisanal","ANGUILA BABOSA","IX",0,NA
"119","artisanal","ANGUILA BABOSA","V",0,NA
"120","artisanal","ANGUILA BABOSA","VI",0,NA
"121","artisanal","ANGUILA BABOSA","VII",0,NA
"122","artisanal","ANGUILA BABOSA","VIII",0,NA
"123","artisanal","ANGUILA BABOSA","X",0,NA
"124","artisanal","ANGUILA BABOSA","XI",0,NA
"125","artisanal","ANGUILA BABOSA","XII",0,NA
"126","artisanal","ANGUILA BABOSA","XIV",0,NA
"127","artisanal","ANGUILA BABOSA","XV",0,NA
"128","artisanal","APA<U+00D1>ADO","I",0,2
"129","artisanal","APA<U+00D1>ADO","II",0,10.8
"130","artisanal","APA<U+00D1>ADO","III",0,7
"131","artisanal","APA<U+00D1>ADO","IV",0,NA
"132","artisanal","APA<U+00D1>ADO","IX",0,NA
"133","artisanal","APA<U+00D1>ADO","V",0,NA
"134","artisanal","APA<U+00D1>ADO","VI",0,NA
"135","artisanal","APA<U+00D1>ADO","VII",0,NA
"136","artisanal","APA<U+00D1>ADO","VIII",0,NA
"137","artisanal","APA<U+00D1>ADO","X",0,NA
"138","artisanal","APA<U+00D1>ADO","XI",0,NA
"139","artisanal","APA<U+00D1>ADO","XII",0,NA
"140","artisanal","APA<U+00D1>ADO","XIV",0,NA
"141","artisanal","APA<U+00D1>ADO","XV",0,NA
"142","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","I",0,1
"143","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","I",1,NA
"144","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","II",0,1.66666666666667
"145","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","II",1,NA
"146","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","III",0,6
"147","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","III",1,NA
"148","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IV",0,5.75
"149","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IV",1,NA
"150","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",0,NA
"151","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",1,NA
"152","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","R.M.",1,NA
"153","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",0,17.2
"154","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",1,NA
"155","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",0,NA
"156","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",1,NA
"157","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",0,1
"158","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",1,NA
"159","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",0,6.4
"160","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",1,1
"161","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",0,NA
"162","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",1,NA
"163","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",0,NA
"164","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",1,NA
"165","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",0,NA
"166","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",1,NA
"167","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",0,NA
"168","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",1,NA
"169","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",0,NA
"170","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",1,NA
"171","artisanal","ATUN ALETA LARGA","I",0,NA
"172","artisanal","ATUN ALETA LARGA","II",0,NA
"173","artisanal","ATUN ALETA LARGA","III",0,NA
"174","artisanal","ATUN ALETA LARGA","IV",0,2.33333333333333
"175","artisanal","ATUN ALETA LARGA","IX",0,NA
"176","artisanal","ATUN ALETA LARGA","V",0,1.2
