species,sc_name,species_en,category,reference,mean_yield
AGUJILLA,Scomberesox saurus scombroides,NA,small fish,,0.5
ALBACORA O PEZ ESPADA,Xiphias gladius,Swordfish,,,0.425
ALMEJA,Venus antiqua,Chilean clam,,Gari solida,0.225
ANCHOVETA,Engraulis ringens,Anchoveta,,,0.55
ANGUILA,Ophichthus spp.,eel,,Ophichthus remiger,0.4
APANADO,Hemilutjanus macrophthalmos,Grape-eye seabass,,,0.525
ATUN ALETA AMARILLA,Thunnus albacares,Yellowfin tuna,,Thunnus sp,0.475
ATUN ALETA LARGA,Thunnus alalunga,Albacore,,Thunnus sp,0.475
ATUN CHAUCHERA,Gatrochisma melampus,Butterfly kingfish,,Thunnus sp,0.475
ATUN OJOS GRANDES,Thunnus obesus,Bigeye tuna,,Thunnus sp,0.475
AYANQUE,Cynoscion analis,Peruvian weakfish,,,0.6
AZULEJO,Prionace glauca,Blue shark,,shark average,0.56
BACALADILLO O MOTE,Normanichthys crockeri,Mote sculpin,,,0.5
BACALAO DE PROFUNDIDAD,Dissostichus eleginoides,Patagonian toothfish,,,0.425
BAGRE AGUA DULCE,Ictalurus punctatus,Channel catfish,,Ariidae,0.475
BESUGO,Epigonus crassicaudus,NA,small fish,,0.5
BLANQUILLO,Prolatilus jugularis,Pacific sandperch,small fish,,0.5
BONITO,Sarda chiliensis,Eastern Pacific bonito,,,0.6
BRECA O BILAGAY,Cheilodactylus variegatus,Peruvian morwong,,,0.5
BROTULA,Salilota australis,Tadpole codling,small fish,,0.5
CABALLA,Scomber japonicus,Chub mackerel,,,0.6
CABINZA,Isacia conceptionis,Cabinza grunt,,,0.5
CABRILLA,Paralabrax humeralis,Peruvian rock seabass,,,0.525
CABRILLA COMUN,Paralabrax humeralis,Peruvian rock seabass,,,0.525
CALAMAR,Loligo gahi,Patagonian squid,,Doryteuthis gahi,0.775
CAMARON DE ROCA,Rhynchocinetes typus,Rock shrimp,,Cryphiops caementarius,0.2
CAMARON NAILON,Heterocarpus reedi,Chilean nylon shrimp,,Cryphiops caementarius,0.2
CANGREJO DORADO DE J. FERNANDEZ,Chaceon chilensis,Juan Fern‡ndez golden crab,,Crabs,0.225
CANQUE,Stellifer minor,Minor stardrum,,Stellifer pizarroensis,0.525
CARACOL LOCATE,Thais chocolata,Snail locate,,Sea snails,0.2
CARACOL PALO PALO,Argobuccinum spp.,Sanil palo palo,,Sea snails,0.2
CARACOL PICUYO,Odontocymbiola magellanica,Snail picuyo,,Sea snails,0.2
CARACOL PIQUILHUE,Adelomelon ancilla,Snail Piquilhue,,Sea snails,0.2
CARACOL RUBIO,Xantochorus cassidiformis,Snail Rubio,,Sea snails,0.2
CARACOL TEGULA,Tegula atra,Snail tegula,,Sea snails,0.2
CARACOL TRUMULCO,Chorus giganteus,Snail trumulco,,Sea snails,0.2
CENTOLLA,Lithodes santolla,Southern king crab,,Crabs,0.225
CENTOLLON,Paralomis granulosa,Softshell red crab,,Crabs,0.225
CENTOLLON DEL NORTE,Paralomis spp.,Northern crab,,Crabs,0.225
CHANCHARRO,Helicolenus lengerichi,Rockfish helicolenus,small fish,,0.5
CHASCA,Gelidium rex,Red algae,algae,Dry ,0.75
CHASCON O HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,algae,Dry ,0.75
CHICOREA DE MAR,Chondracanthus chamissoi,Red algae chicorea,algae,Dry ,0.75
CHOCHA,Trochita trochiformes,Snail trochita,,Sea snails,0.2
CHOLGA,Aulacomya ater,Chilean ribbed mussel,,,0.175
CHORITO,Mytilus chilensis,Chilean mussel,,Aulacomya ater,0.175
CHORO,Choromytilus chorus,Chorus Mussel,,Aulacomya ater,0.175
COCHAYUYO,Durvillaea antarctica,New Zealand bull ,algae,Dry ,0.75
COCHINILLA,Navodon Paschalis,Navodon,small fish,,0.5
COJINOBA DEL NORTE,Seriolella violacea,Palm ruff,,,0.6
COJINOBA DEL SUR,Seriolella caerulea,White warehou,,Seriolella violacea,0.6
COJINOBA MOTEADA,Seriolella punctata,Silver warehou,,Seriolella violacea,0.6
CONGRIO COLORADO,Genypterus chilensis,Red cusk-eel,,Genypterus maculatus,0.5
CONGRIO DORADO,Genypterus blacodes,Pink cusk-eel,,Genypterus maculatus,0.5
CONGRIO NEGRO,Genypterus maculatus,Black cusk-eel,,,0.5
CORVINA,Cilus gilberti,Corvina drum,,,0.55
CRUSTACEO NO CLASIFICADO,Crustacea,Crustaceans,crustaceo,,0.2
CULENGUE,Gari solida,Pacific clam,,,0.225
DORADO DE ALTURA,Coryphaena hippurus,Common dolphinfish,,,0.6
DRACO RAYADO,Champsocephalus gunnari,Mackerel icefish,,Mackerel average,0.55
ERIZO,Loxechinus albus,Chilean sea urchin,,,0.075
GAMBA,Haliporoides diomedeae,Chilean knife shrimp,,Changallo shrimp,0.2
HUAIQUIL O CORVINILLA,Micropogonias manni,Micropogonias manni,small fish,,0.5
HUEPO O NAVAJA DE MAR,Ensis macha,Razor clam,,Gari solida,0.225
HUIRO,Macrocystis spp.,Giant kelp,algae,Dry ,0.75
HUIRO PALO,Lessonia trabeculata,Giant brown kelp,algae,Dry ,0.75
JAIBA LIMON,Cancer porteri,Crab limon,,Crabs,0.225
JAIBA MARMOLA,Cancer edwardsi,Mola rock crab,,Crabs,0.225
JAIBA MORA,Homalaspis plana,Blackberry crab,,Crabs,0.225
JAIBA PANCHOTE O CANGREJO,Taliepus dentatus,Crab panchote,,Crabs,0.225
JAIBA PATUDA,Taliepus marginatus,Crab patuda,,Crabs,0.225
JAIBA PELUDA O PACHONA,Cancer setosus,Crab peluda,,Crabs,0.225
JAIBA REINA,Cancer coronatus,Queen Crab,,Crabs,0.225
JAIBA REMADORA,Ovalipes trimaculatus,Rowing Crab,,Crabs,0.225
JERGUILLA,Aplodactylus punctatus,Jerguilla,,,0.5
JIBIA O CALAMAR ROJO,Dosidicus gigas,Jumbo flying squid,,,0.8
JULIANA O TAWERA,Tawera gayi,Tawera,,Gari solida,0.225
JUREL,Trachurus murphyi,Chilean jack mackerel,,,0.5
KONSO,Ruvettus pretiosus,Oilfish,,,0.425
LANGOSTA DE J.FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,,Crabs,0.225
LANGOSTA ENANA,Projasus bahamondei,Chilean Jagged Lobster,,Crabs,0.225
LANGOSTINO AMARILLO,Cervimunida johni,Blue squat lobster,,Crabs,0.225
LANGOSTINO COLORADO,Pleuroncodes monodon,Red squat lobster,,Crabs,0.225
LANGOSTINO ENANO,Pleuroncodes sp,Squat lobster,,Crabs,0.225
LAPA NEGRA,Fissurella latimarginata,Black keyhole limpet,,Fissurella maxima,0.275
LAPA PICTA,Fissurella picta,Picta Keyhole limpet,,Fissurella maxima,0.275
LAPA REINA,Fissurella maxima,Giant keyhole limpet,,,0.275
LAPA ROSADA,Fissurella cumingi,Rosy keyhole limpet,,,0.275
LECHUGUILLA,Ulva lactuca,Sea lettuce,algae,Dry ,0.75
LENGUADO OJOS CHICOS,Paralichthys microps,Small-eye flounder,small fish,,0.5
LIQUEN GOMOSO,Gymnogongrus furcellatus,Liquen Gomoso,algae,Dry ,0.75
LISA,Mugil cephalus,Flathead grey mullet,,,0.6
LOCO,Concholepas concholepas,Chilean abalone,,,0.225
LUCHE,Porphyra columbina,Luche,algae,Dry ,0.75
LUGA CUCHARA O CORTA,Mazzaella laminarioides,Luga,algae,Dry ,0.75
LUGA NEGRA O CRESPA,Sarcothalia crispata,Black algae luga,algae,Dry ,0.75
LUGA-ROJA,Gigartina skottsbergii,Red luga,algae,Dry ,0.75
MACHA,Mesodesma donacium,Macha clam,,Gari solida,0.225
MACHUELO O TRITRE,Ethmidium maculatum,Pacific menhaden,,,0.55
"MARLIN,""Tetrapturus spp., Makaira spp"",Tetrapturus,medium fish,,0.5"
MERLUZA COMUN,Merluccius gayi gayi,South Pacific hake,,Merluccius gayi peruanus,0.5
MERLUZA DE COLA,Macruronus magellanicus,Patagonian grenadier,,Merluccius gayi peruanus,0.5
MERLUZA DE TRES ALETAS,Micromesistius australis,Southern blue whiting,,Merluccius gayi peruanus,0.5
MERLUZA DEL SUR O AUSTRAL,Merluccius australis,Southern hake,,Merluccius gayi peruanus,0.5
NANUE,Kiphosus sandwicensis,Pacific chub,small fish,,0.5
NAVAJUELA,Tagelus dombeii,Navajuela,,Gari solida,0.225
OSTION DEL SUR,Chlamys vitrea,Sea scalop,,Gari solida,0.225
OSTRA CHILENA,Ostrea chilensis,Chilean flat oyster,,,0.125
PAMPANITO,Stromateus stellatus,Starry butterfish,small fish,,0.5
PEJEGALLO,Callorhinchus callorhynchus,American Elephantfish,small fish,,0.5
PEJEPERRO,Semicossyphus maculatus,Sheephead,medium fish,,0.5
PEJERRATA,Coelorhynchus chilensis,Chilean grenadier,small fish,,0.5
PEJERREY DE MAR,Odontesthes regia,Chilean silverside,,,0.425
PEJESAPO,Sicyases sanguin,Pejesapo,small fish,,0.5
PEJEZORRO,Alopias vulpinus,Thresher,,Alopias sp.,0.6
PELILLO,Gracilaria spp.,Red algae gracilaria,algae,Dry ,0.75
PEPINO DE MAR,Athyonidium chilensis,Sea cucumber,equinoderm,,1
