"species","sc_name"
"AGUJILLA","Scomberesox saurus scombroides"
"ALBACORA O PEZ ESPADA","Xiphias gladius"
"ALMEJA","Venus antiqua"
"ANCHOVETA","Engraulis ringens"
"ANGUILA","Ophichthus spp."
"APANADO","Hemilutjanus macrophthalmos"
"ATUN ALETA AMARILLA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus alalunga"
"ATUN CHAUCHERA","Gatrochisma melampus"
"ATUN OJOS GRANDES","Thunnus obesus"
"AYANQUE","Cynoscion analis"
"AZULEJO","Prionace glauca"
"BACALADILLO O MOTE","Normanichthys crockeri"
"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides"
"BAGRE AGUA DULCE","Ictalurus punctatus"
"BESUGO","Epigonus crassicaudus"
"BLANQUILLO","Prolatilus jugularis"
"BONITO","Sarda chiliensis"
"BRECA O BILAGAY","Cheilodactylus variegatus"
"BROTULA","Salilota australis"
"CABALLA","Scomber japonicus"
"CABINZA","Isacia conceptionis"
"CABRILLA","Paralabrax humeralis"
"CABRILLA COMUN","Paralabrax humeralis"
"CALAMAR","Loligo gahi"
"CAMARON DE ROCA","Rhynchocinetes typus"
"CAMARON NAILON","Heterocarpus reedi"
"CANGREJO DORADO DE J. FERNANDEZ","Chaceon chilensis"
"CANQUE","Stellifer minor"
"CARACOL LOCATE","Thais chocolata"
"CARACOL PALO PALO","Argobuccinum spp."
"CARACOL PICUYO","Odontocymbiola magellanica"
"CARACOL PIQUILHUE","Adelomelon ancilla"
"CARACOL RUBIO","Xantochorus cassidiformis"
"CARACOL TEGULA","Tegula atra"
"CARACOL TRUMULCO","Chorus giganteus"
"CENTOLLA","Lithodes santolla"
"CENTOLLON","Paralomis granulosa"
"CENTOLLON DEL NORTE","Paralomis spp."
"CHANCHARRO","Helicolenus lengerichi"
"CHASCA","Gelidium rex"
"CHASCON O HUIRO NEGRO","Lessonia nigrescens"
"CHICOREA DE MAR","Chondracanthus chamissoi"
"CHOCHA","Trochita trochiformes"
"CHOLGA","Aulacomya ater"
"CHORITO","Mytilus chilensis"
"CHORO","Choromytilus chorus"
"COCHAYUYO","Durvillaea antarctica"
"COCHINILLA","Navodon Paschalis"
"COJINOBA DEL NORTE","Seriolella violacea"
"COJINOBA DEL SUR","Seriolella caerulea"
"COJINOBA MOTEADA","Seriolella punctata"
"CONGRIO COLORADO","Genypterus chilensis"
"CONGRIO DORADO","Genypterus blacodes"
"CONGRIO NEGRO","Genypterus maculatus"
"CORVINA","Cilus gilberti"
"CRUSTACEO NO CLASIFICADO","Crustacea"
"CULENGUE","Gari solida"
"DORADO DE ALTURA","Coryphaena hippurus"
"DRACO RAYADO","Champsocephalus gunnari"
"ERIZO","Loxechinus albus"
"GAMBA","Haliporoides diomedeae"
"HUAIQUIL O CORVINILLA","Micropogonias manni"
"HUEPO O NAVAJA DE MAR","Ensis macha"
"HUIRO","Macrocystis spp."
"HUIRO PALO","Lessonia trabeculata"
"JAIBA LIMON","Cancer porteri"
"JAIBA MARMOLA","Cancer edwardsi"
"JAIBA MORA","Homalaspis plana"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus"
"JAIBA PATUDA","Taliepus marginatus"
"JAIBA PELUDA O PACHONA","Cancer setosus"
"JAIBA REINA","Cancer coronatus"
"JAIBA REMADORA","Ovalipes trimaculatus"
"JERGUILLA","Aplodactylus punctatus"
"JIBIA O CALAMAR ROJO","Dosidicus gigas"
"JULIANA O TAWERA","Tawera gayi"
"JUREL","Trachurus murphyi"
"KONSO","Ruvettus pretiosus"
"LANGOSTA DE J.FERNANDEZ","Jasus frontalis"
"LANGOSTA ENANA","Projasus bahamondei"
"LANGOSTINO AMARILLO","Cervimunida johni"
"LANGOSTINO COLORADO","Pleuroncodes monodon"
"LANGOSTINO ENANO","Pleuroncodes sp"
"LAPA NEGRA","Fissurella latimarginata"
"LAPA PICTA","Fissurella picta"
"LAPA REINA","Fissurella maxima"
"LAPA ROSADA","Fissurella cumingi"
"LECHUGUILLA","Ulva lactuca"
"LENGUADO OJOS CHICOS","Paralichthys microps"
"LIQUEN GOMOSO","Gymnogongrus furcellatus"
"LISA","Mugil cephalus"
"LOCO","Concholepas concholepas"
"LUCHE","Porphyra columbina"
"LUGA CUCHARA O CORTA","Mazzaella laminarioides"
"LUGA NEGRA O CRESPA","Sarcothalia crispata"
"LUGA-ROJA","Gigartina skottsbergii"
"MACHA","Mesodesma donacium"
"MACHUELO O TRITRE","Ethmidium maculatum"
"MARLIN","Tetrapturus spp., Makaira spp"
"MERLUZA COMUN","Merluccius gayi gayi"
"MERLUZA DE COLA","Macruronus magellanicus"
"MERLUZA DE TRES ALETAS","Micromesistius australis"
"MERLUZA DEL SUR O AUSTRAL","Merluccius australis"
"NANUE","Kiphosus sandwicensis"
"NAVAJUELA","Tagelus dombeii"
"OSTION DEL SUR","Chlamys vitrea"
"OSTRA CHILENA","Ostrea chilensis"
"PAMPANITO","Stromateus stellatus"
"PEJEGALLO","Callorhinchus callorhynchus"
"PEJEPERRO","Semicossyphus maculatus"
"PEJERRATA","Coelorhynchus chilensis"
"PEJERREY DE MAR","Odontesthes regia"
"PEJESAPO","Sicyases sanguin"
"PEJEZORRO","Alopias vulpinus"
