name_sp,sc_name,group
erizos de mar,NA,erizo
erizos de mar,NA,erizo
abalon japones,Haliotis discus hannai,abalon japones
almejas,"Protothaca thaca, Ameghinomya antiqua",
almejas,"Protothaca thaca, Ameghinomya antiqua",
almejas,Tawera gayi,
almejas,Tawera gayi,
almejas,Tawera gayi,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anchoas,NA,
anguilas,NA,
anguilas,NA,
anguilas,NA,
anguilas,NA,
arenques,NA,
arenques,NA,
arenques,NA,
arenques,NA,
arenques,NA,
arenques,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
atunes,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
bonitos,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
caballas,NA,
camaron de rio,Cryphiops caementarius,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron ecuatoriano,Penaeus vannamei,
camaron ecuatoriano,Panaeus vannamei,
camaron nailon,Heterocarpus reedi,
camaron nailon,Heterocarpus reedi,
camaron nailon,Heterocarpus reedi,
camaron nailon,Heterocarpus reedi,
camaron nailon,Heterocarpus reedi,
caracoles excepto los de mar,NA,
caracoles excepto los de mar,NA,
caracoles excepto los de mar,NA,
caracoles excepto los de mar,NA,
caviar,NA,
caviar,NA,
caviar,NA,
caviar,NA,
caviar,NA,
caviar,NA,
centolla,Lithodes santolla,
centolla,Lithodes santolla,
centolla del norte,Lithodes spp.,
congrio,NA,
congrio,NA,
"extracto de pescado, crustaceos moluscos",NA,
"extracto de pescado, crustaceos moluscos",NA,
"extracto de pescado, crustaceos moluscos",NA,
"extracto de pescado, crustaceos moluscos",NA,
"extracto de pescado, crustaceos moluscos",NA,
"extracto de pescado, crustaceos moluscos",NA,
gambas,Haliporoides diomedeae,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jaibas,Cancer spp.,
jibias,Dosidicus gigas,
jibias,Dosidicus gigas,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
jurel,NA,
langostino colorado,Pleuroncodes monodon,
langostino colorado,Pleuroncodes monodon,
las demas almejas,NA,
las demas almejas,NA,
las demas almejas,NA,
las demas almejas,NA,
las demas almejas,NA,
las demas almejas,NA,
"las demas jibias",NA,
"las demas jibias",NA,
"las demas jibias",NA,
"las demas jibias",NA,
"las demas jibias",NA,
"las demas jibias",NA,
"las demas vieiras, volandeiras ","Pecten, Chlamys o Placopecten",
"las demas vieiras, volandeiras ","Pecten, Chlamys o Placopecten",
"las demas vieiras, volandeiras ","Pecten, Chlamys o Placopecten",
listados,NA,
listados,NA,
listados,NA,
listados,NA,
listados,NA,
listados,NA,
locos,Concholepas concholepas,
los demas abalones y orejas de mar,NA,
los demas abalones y orejas de mar,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
los demas camarones,NA,
"los demas camarones, langostinos y natantia",NA,
"los demas camarones, langostinos y natantia",NA,
"los demas camarones, langostinos y natantia",NA,
"los demas camarones, langostinos y natantia",NA,
los demas cangrejos,NA,
los demas cangrejos,NA,
los demas cangrejos,NA,
los demas caracoles,NA,
los demas caracoles,NA,
los demas caracoles,NA,
los demas caracoles,NA,
los demas caracoles,NA,
los demas caracoles,NA,
los demas centollas y centollon,NA,
los demas crustaceos,NA,
los demas crustaceos,NA,
los demas crustaceos,NA,
los demas crustaceos,NA,
los demas crustaceos,NA,
los demas de los demas moluscos,NA,
los demas de los demas moluscos,NA,
los demas de los demas moluscos,NA,
los demas de los demas moluscos,NA,
los demas de los demas moluscos,NA,
los demas de los demas moluscos,NA,
los demas decapodos Natantia,NA,
los demas decapodos Natantia,NA,
los demas decapodos Natantia,NA,
los demas decapodos Natantia,NA,
los demas decapodos Natantia,NA,
los demas decapodos Natantia,NA,
los demas invertebrados acuaticos,NA,
los demas invertebrados acuaticos,NA,
los demas invertebrados acuaticos,NA,
los demas invertebrados acuaticos,NA,
los demas invertebrados acuaticos,NA,
los demas invertebrados acuaticos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas langostinos,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
los demas pescados,NA,
machas,Mesodesma donacium,
machas,Mesodesma donacium,
meduzas,NA,
mejillones,NA,
mejillones,NA,
mejillones,NA,
mejillones,NA,
mejillones,NA,
mejillones,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
merluza,NA,
navajas de mar,Ensis macha,
navajas de mar,Ensis macha,
navajas de mar,Ensis macha,
navajuelas,Tagelus dombeii,
navajuelas,Tagelus dombeii,
navajuelas,Tagelus dombeii,
ostiones,"Argopecten purpuratus, Chlamys patagonica",
ostiones,"Argopecten purpuratus, Chlamys patagonica",
ostiones,"Argopecten purpuratus, Chlamys patagonica",
ostiones,"Argopecten purpuratus, Chlamys patagonica",
ostras,NA,
ostras,NA,
ostras,NA,
pulpos,NA,
pulpos,NA,
pulpos,NA,
pulpos,NA,
pulpos,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
salmon,NA,
sardina y jurel,NA,
sardina y jurel,NA,
sardina y jurel,NA,
sardina y jurel,NA,
sardina y jurel,NA,
sardina y jurel,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinas,NA,
sardinelas y espadines,NA,
sardinelas y espadines,NA,
sardinelas y espadines,NA,
sucedaneos de caviar,NA,
sucedaneos de caviar,NA,
sucedaneos de caviar,NA,
sucedaneos de caviar,NA,
trucha,NA,
