"especie_SERNAPESCA","nombre_cientifico_SERNAPESCA"
"CHASCA","Gelidium rex"
"CHASCA","Gelidium rex"
"CHASCON O HUIRO NEGRO","Lessonia nigrescens"
"CHASCON O HUIRO NEGRO","Lessonia nigrescens"
"CHICOREA DE MAR","Chondracanthus chamissoi"
"CHICOREA DE MAR","Chondracanthus chamissoi"
"COCHAYUYO","Durvillaea antarctica"
"COCHAYUYO","Durvillaea antarctica"
"HUIRO","Macrocystis spp."
"HUIRO","Macrocystis spp."
"HUIRO PALO","Lessonia trabeculata"
"LECHUGUILLA","Ulva lactuca"
"LIQUEN GOMOSO","Gymnogongrus furcellatus"
"LUCHE","Porphyra columbina"
"LUGA CUCHARA O CORTA","Mazzaella laminarioides"
"LUGA NEGRA O CRESPA","Sarcothalia crispata"
"LUGA-ROJA","Gigartina skottsbergii"
"PELILLO","Gracilaria spp."
"PELILLO","Gracilaria spp."
"AGUJILLA","Scomberesox saurus scombroides"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius"
"ANCHOVETA","Engraulis ringens"
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA","Ophichthus spp."
"ANGUILA BABOSA","Eptatretus polytrema"
"APA<U+00D1>ADO","Hemilutjanus macrophthalmos"
"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares"
"ATUN ALETA AMARILLA / KAHI AVE AVE","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN ALETA LARGA","Thunnus albacares"
"ATUN CHAUCHERA","Gatrochisma melampus"
"AZULEJO","Prionace glauca"
"AZULEJO","Prionace glauca"
"AZULEJO","Prionace glauca"
"AZULEJO","Prionace glauca"
