"species_en","sc_name","min_yield","max_yield","mean_yield"
"Chilean abalone","Concholepas concholepas",0.15,0.3,0.225
"Oilfish","Ruvettus pretiosus",0.35,0.5,0.425
"Californian needlefish","Strongylura exilis",0.35,0.5,0.425
"Tunas","Thunnus sp. | Auxis sp.",0.35,0.6,0.475
"Pacific clam","Gari solida",0.15,0.3,0.225
"Anchoveta","Engraulis ringens",0.4,0.7,0.55
"Pacific angelshark","Squatina californica",0.5,0.6,0.55
"Punctuated snake-eel","Ophichthus remiger",0.35,0.45,0.4
"Peruvian weakfish","Cynoscion analis",0.5,0.7,0.6
"Sea snails","Gastropoda",0.15,0.25,0.2
"NA","Girella laevifrons",0.35,0.55,0.45
"Patagonian toothfish","Dissostichus eleginoides",0.35,0.5,0.425
"Catfishes","Ariidae",0.4,0.55,0.475
"Blue bobo","Polydactylus approximans",0.45,0.6,0.525
"Chiton","Acanthopleura echinata",0.18,0.25,0.215
"Mexican barracuda","Sphyraena ensis",0.35,0.45,0.4
"Skipjack tuna","Katsuwonus pelamis",0.35,0.6,0.475
"Rays","Batoidea",0.4,0.6,0.5
"Pacific drum","Larimus pacificus",0.4,0.7,0.55
"Pacific tripletail","Lobotes pacificus",0.35,0.6,0.475
"Eastern Pacific bonito","Sarda chiliensis",0.5,0.7,0.6
"Giant blenny","Scartichthys gigas",0.4,0.6,0.5
"NA","Cheilotrema fasciatum",0.4,0.6,0.5
"Chub mackerel","Scomber japonicus",0.5,0.7,0.6
"Chere-chere grunt","Haemulon steindachneri",0.4,0.6,0.5
"Cabinza grunt","Isacia conceptionis",0.4,0.6,0.5
"Peruvian rock seabass","Paralabrax humeralis",0.4,0.65,0.525
"Southern rock bass","Paralabrax callaensis",0.4,0.65,0.525
"Patagonian squid","Doryteuthis gahi",0.7,0.85,0.775
"Changallo shrimp","Cryphiops caementarius",0.15,0.25,0.2
"Pacific spadefish","Chaetodipterus zonatus",0.35,0.55,0.45
"Mote sculpin","Normanichthys crockeri",0.4,0.6,0.5
"Sand-perch","Diplectrum conceptione",0.4,0.6,0.5
