"","subsector","species","region","international_waters","tons"
"1","artisanal","ACHA O HACHA","I",0,NA
"2","artisanal","ACHA O HACHA","II",0,NA
"3","artisanal","ACHA O HACHA","III",0,3
"4","artisanal","ACHA O HACHA","IV",0,NA
"5","artisanal","ACHA O HACHA","IX",0,NA
"6","artisanal","ACHA O HACHA","V",0,NA
"7","artisanal","ACHA O HACHA","VI",0,NA
"8","artisanal","ACHA O HACHA","VII",0,NA
"9","artisanal","ACHA O HACHA","VIII",0,NA
"10","artisanal","ACHA O HACHA","X",0,NA
"11","artisanal","ACHA O HACHA","XI",0,NA
"12","artisanal","ACHA O HACHA","XII",0,NA
"13","artisanal","ACHA O HACHA","XIV",0,1
"14","artisanal","ACHA O HACHA","XV",0,NA
"15","artisanal","AGUJILLA","I",0,2
"16","artisanal","AGUJILLA","II",0,NA
"17","artisanal","AGUJILLA","III",0,1
"18","artisanal","AGUJILLA","IV",0,9
"19","artisanal","AGUJILLA","IX",0,NA
"20","artisanal","AGUJILLA","V",0,NA
"21","artisanal","AGUJILLA","VI",0,NA
"22","artisanal","AGUJILLA","VII",0,NA
"23","artisanal","AGUJILLA","VIII",0,NA
"24","artisanal","AGUJILLA","X",0,NA
"25","artisanal","AGUJILLA","XI",0,NA
"26","artisanal","AGUJILLA","XII",0,NA
"27","artisanal","AGUJILLA","XIV",0,NA
"28","artisanal","AGUJILLA","XV",0,NA
"29","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","I",0,300.75
"30","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","I",1,NA
"31","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","II",0,601.75
"32","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","II",1,NA
"33","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","III",0,434
"34","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","III",1,NA
"35","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IV",0,2053.5
"36","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IV",1,62.6666666666667
"37","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IX",0,NA
"38","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","IX",1,NA
"39","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","R.M.",1,NA
"40","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","V",0,920.5
"41","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","V",1,NA
"42","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VI",0,NA
"43","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VI",1,NA
"44","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VII",0,37
"45","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VII",1,NA
"46","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VIII",0,1540
"47","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","VIII",1,69
"48","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","X",0,NA
"49","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","X",1,NA
"50","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XI",0,NA
"51","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XI",1,NA
"52","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XII",0,NA
"53","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XII",1,NA
"54","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XIV",0,9
"55","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XIV",1,NA
"56","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XV",0,6
"57","artisanal","ALBACORA O PEZ ESPADA / IVI HEHEU","XV",1,NA
"58","artisanal","ALMEJA","I",0,45
"59","artisanal","ALMEJA","II",0,75.75
"60","artisanal","ALMEJA","III",0,13
"61","artisanal","ALMEJA","IV",0,7.5
"62","artisanal","ALMEJA","IX",0,NA
"63","artisanal","ALMEJA","V",0,6
"64","artisanal","ALMEJA","VI",0,NA
"65","artisanal","ALMEJA","VII",0,NA
"66","artisanal","ALMEJA","VIII",0,114
"67","artisanal","ALMEJA","X",0,11507.75
"68","artisanal","ALMEJA","XI",0,325
"69","artisanal","ALMEJA","XII",0,87.5
"70","artisanal","ALMEJA","XIV",0,8
"71","artisanal","ALMEJA","XV",0,37.5
"72","artisanal","ANCHOVETA","I",0,28424
"73","artisanal","ANCHOVETA","II",0,23315
"74","artisanal","ANCHOVETA","III",0,13208.5
"75","artisanal","ANCHOVETA","IV",0,10279.75
"76","artisanal","ANCHOVETA","IX",0,NA
"77","artisanal","ANCHOVETA","V",0,2374.5
"78","artisanal","ANCHOVETA","VI",0,NA
"79","artisanal","ANCHOVETA","VII",0,NA
"80","artisanal","ANCHOVETA","VIII",0,55194.25
"81","artisanal","ANCHOVETA","X",0,808.75
"82","artisanal","ANCHOVETA","XI",0,NA
"83","artisanal","ANCHOVETA","XII",0,NA
"84","artisanal","ANCHOVETA","XIV",0,1836.5
"85","artisanal","ANCHOVETA","XV",0,63564.5
"86","artisanal","ANGUILA","I",0,NA
"87","artisanal","ANGUILA","II",0,NA
"88","artisanal","ANGUILA","III",0,NA
"89","artisanal","ANGUILA","IV",0,NA
"90","artisanal","ANGUILA","IX",0,NA
"91","artisanal","ANGUILA","V",0,55.75
"92","artisanal","ANGUILA","VI",0,NA
"93","artisanal","ANGUILA","VII",0,NA
"94","artisanal","ANGUILA","VIII",0,NA
"95","artisanal","ANGUILA","X",0,NA
"96","artisanal","ANGUILA","XI",0,NA
"97","artisanal","ANGUILA","XII",0,NA
"98","artisanal","ANGUILA","XIV",0,NA
"99","artisanal","ANGUILA","XV",0,NA
"100","artisanal","ANGUILA BABOSA","I",0,NA
"101","artisanal","ANGUILA BABOSA","II",0,NA
"102","artisanal","ANGUILA BABOSA","III",0,NA
"103","artisanal","ANGUILA BABOSA","IV",0,8
"104","artisanal","ANGUILA BABOSA","IX",0,NA
"105","artisanal","ANGUILA BABOSA","V",0,NA
"106","artisanal","ANGUILA BABOSA","VI",0,NA
"107","artisanal","ANGUILA BABOSA","VII",0,NA
"108","artisanal","ANGUILA BABOSA","VIII",0,NA
"109","artisanal","ANGUILA BABOSA","X",0,NA
"110","artisanal","ANGUILA BABOSA","XI",0,NA
"111","artisanal","ANGUILA BABOSA","XII",0,NA
"112","artisanal","ANGUILA BABOSA","XIV",0,NA
"113","artisanal","ANGUILA BABOSA","XV",0,NA
"114","artisanal","APAÑADO","I",0,2
"115","artisanal","APAÑADO","II",0,9.5
"116","artisanal","APAÑADO","III",0,NA
"117","artisanal","APAÑADO","IV",0,NA
"118","artisanal","APAÑADO","IX",0,NA
"119","artisanal","APAÑADO","V",0,NA
"120","artisanal","APAÑADO","VI",0,NA
"121","artisanal","APAÑADO","VII",0,NA
"122","artisanal","APAÑADO","VIII",0,NA
"123","artisanal","APAÑADO","X",0,NA
"124","artisanal","APAÑADO","XI",0,NA
"125","artisanal","APAÑADO","XII",0,NA
"126","artisanal","APAÑADO","XIV",0,NA
"127","artisanal","APAÑADO","XV",0,NA
"128","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","I",0,1
"129","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","I",1,NA
"130","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","II",0,1.66666666666667
"131","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","II",1,NA
"132","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","III",0,1
"133","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","III",1,NA
"134","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IV",0,5
"135","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IV",1,NA
"136","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",0,NA
"137","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","IX",1,NA
"138","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","R.M.",1,NA
"139","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",0,16.75
"140","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","V",1,NA
"141","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",0,NA
"142","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VI",1,NA
"143","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",0,1
"144","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VII",1,NA
"145","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",0,5.5
"146","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","VIII",1,1
"147","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",0,NA
"148","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","X",1,NA
"149","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",0,NA
"150","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XI",1,NA
"151","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",0,NA
"152","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XII",1,NA
"153","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",0,NA
"154","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XIV",1,NA
"155","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",0,NA
"156","artisanal","ATUN ALETA AMARILLA / KAHI AVE AVE","XV",1,NA
"157","artisanal","ATUN ALETA LARGA","I",0,NA
"158","artisanal","ATUN ALETA LARGA","II",0,NA
"159","artisanal","ATUN ALETA LARGA","III",0,NA
"160","artisanal","ATUN ALETA LARGA","IV",0,3
"161","artisanal","ATUN ALETA LARGA","IX",0,NA
"162","artisanal","ATUN ALETA LARGA","V",0,1.25
"163","artisanal","ATUN ALETA LARGA","VI",0,NA
"164","artisanal","ATUN ALETA LARGA","VII",0,NA
"165","artisanal","ATUN ALETA LARGA","VIII",0,4.5
"166","artisanal","ATUN ALETA LARGA","X",0,NA
"167","artisanal","ATUN ALETA LARGA","XI",0,NA
"168","artisanal","ATUN ALETA LARGA","XII",0,NA
"169","artisanal","ATUN ALETA LARGA","XIV",0,NA
"170","artisanal","ATUN ALETA LARGA","XV",0,NA
"171","artisanal","ATUN CHAUCHERA","I",0,NA
"172","artisanal","ATUN CHAUCHERA","II",0,NA
"173","artisanal","ATUN CHAUCHERA","III",0,NA
"174","artisanal","ATUN CHAUCHERA","IV",0,2.33333333333333
"175","artisanal","ATUN CHAUCHERA","IX",0,NA
"176","artisanal","ATUN CHAUCHERA","V",0,1
"177","artisanal","ATUN CHAUCHERA","VI",0,NA
"178","artisanal","ATUN CHAUCHERA","VII",0,NA
"179","artisanal","ATUN CHAUCHERA","VIII",0,3.66666666666667
