"species","region","tons","product","year","sc_name","en_name"
"CHASCA","XV",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","XV",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","XV",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","XV",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","XV",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","XV",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","XV",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","XV",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","XV",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","XV",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","XV",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","XV",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","XV",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","I",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","I",3925,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","I",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","I",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","I",8,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","I",1218,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","I",496,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","I",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","I",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","I",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","I",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","I",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","I",6,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","II",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","II",17643,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","II",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","II",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","II",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
