"species","region","tons","product","year"
"COCHAYUYO","XV",0,"fresh",2013
"ALBACORA O PEZ ESPADA","XV",0,"fresh",2013
"ATUN OJOS GRANDES","XV",0,"fresh",2013
"AZULEJO","XV",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","XV",0,"fresh",2013
"BESUGO","XV",0,"fresh",2013
"CABALLA","XV",0,"fresh",2013
"CONGRIO COLORADO","XV",0,"fresh",2013
"CONGRIO DORADO","XV",0,"fresh",2013
"CONGRIO NEGRO","XV",0,"fresh",2013
"CORVINA","XV",0,"fresh",2013
"JUREL","XV",0,"fresh",2013
"MERLUZA COMUN","XV",0,"fresh",2013
"MERLUZA DE COLA","XV",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","XV",0,"fresh",2013
"PEJEGALLO","XV",0,"fresh",2013
"PEJERREY DE MAR","XV",0,"fresh",2013
"RAYA VOLANTIN","XV",0,"fresh",2013
"REINETA","XV",0,"fresh",2013
"ROBALO","XV",0,"fresh",2013
"SALMON DEL ATLANTICO","XV",0,"fresh",2013
"SALMON PLATEADO","XV",0,"fresh",2013
"SALMON REY","XV",0,"fresh",2013
"SARDINA COMUN","XV",0,"fresh",2013
"SIERRA","XV",0,"fresh",2013
"TIBURON O MARRAJO","XV",0,"fresh",2013
"TOLLO","XV",0,"fresh",2013
"TRUCHA ARCO IRIS","XV",0,"fresh",2013
"TURBOT","XV",0,"fresh",2013
"ABALON JAPONES","XV",0,"fresh",2013
"ABALON ROJO","XV",0,"fresh",2013
"ALMEJA","XV",0,"fresh",2013
"CARACOL LOCATE","XV",0,"fresh",2013
"CARACOL PALO PALO","XV",0,"fresh",2013
"CHOLGA","XV",0,"fresh",2013
"CHORITO","XV",0,"fresh",2013
"CHORO","XV",0,"fresh",2013
"CULENGUE","XV",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","XV",0,"fresh",2013
"JIBIA O CALAMAR ROJO","XV",0,"fresh",2013
"LAPA NEGRA","XV",0,"fresh",2013
"LOCO","XV",0,"fresh",2013
"MACHA","XV",0,"fresh",2013
"NAVAJUELA","XV",0,"fresh",2013
"OSTION DEL NORTE","XV",0,"fresh",2013
"OSTION DEL SUR","XV",0,"fresh",2013
"PULPO","XV",0,"fresh",2013
"PULPO DEL SUR","XV",0,"fresh",2013
"TAQUILLA","XV",0,"fresh",2013
"TUMBAO","XV",0,"fresh",2013
"CAMARON NAILON","XV",0,"fresh",2013
"CENTOLLA","XV",0,"fresh",2013
"JAIBA MARMOLA","XV",0,"fresh",2013
"JAIBA PELUDA O PACHONA","XV",0,"fresh",2013
"ERIZO","XV",3,"fresh",2013
"PIURE","XV",0,"fresh",2013
"COCHAYUYO","I",0,"fresh",2013
"ALBACORA O PEZ ESPADA","I",0,"fresh",2013
"ATUN OJOS GRANDES","I",0,"fresh",2013
"AZULEJO","I",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","I",9,"fresh",2013
"BESUGO","I",0,"fresh",2013
