"species","region","tons","product","year"
"AGUJILLA","XV",0,"oil",2013
"ANCHOVETA","XV",0,"oil",2013
"BACALADILLO O MOTE","XV",0,"oil",2013
"CABALLA","XV",0,"oil",2013
"JUREL","XV",0,"oil",2013
"MACHUELO O TRITRE","XV",0,"oil",2013
"MERLUZA DE COLA","XV",0,"oil",2013
"PAMPANITO","XV",0,"oil",2013
"PESCADO NO CLASIFICADO","XV",0,"oil",2013
"SARDINA AUSTRAL","XV",0,"oil",2013
"SARDINA COMUN","XV",0,"oil",2013
"JIBIA O CALAMAR ROJO","XV",0,"oil",2013
"AGUJILLA","I",0,"oil",2013
"ANCHOVETA","I",0,"oil",2013
"BACALADILLO O MOTE","I",0,"oil",2013
"CABALLA","I",0,"oil",2013
"JUREL","I",0,"oil",2013
"MACHUELO O TRITRE","I",0,"oil",2013
"MERLUZA DE COLA","I",0,"oil",2013
"PAMPANITO","I",0,"oil",2013
"PESCADO NO CLASIFICADO","I",0,"oil",2013
"SARDINA AUSTRAL","I",0,"oil",2013
"SARDINA COMUN","I",0,"oil",2013
"JIBIA O CALAMAR ROJO","I",0,"oil",2013
"AGUJILLA","II",0,"oil",2013
"ANCHOVETA","II",0,"oil",2013
"BACALADILLO O MOTE","II",0,"oil",2013
"CABALLA","II",0,"oil",2013
"JUREL","II",0,"oil",2013
"MACHUELO O TRITRE","II",0,"oil",2013
"MERLUZA DE COLA","II",0,"oil",2013
"PAMPANITO","II",0,"oil",2013
"PESCADO NO CLASIFICADO","II",0,"oil",2013
"SARDINA AUSTRAL","II",0,"oil",2013
"SARDINA COMUN","II",0,"oil",2013
"JIBIA O CALAMAR ROJO","II",0,"oil",2013
"AGUJILLA","III",0,"oil",2013
"ANCHOVETA","III",0,"oil",2013
"BACALADILLO O MOTE","III",0,"oil",2013
"CABALLA","III",0,"oil",2013
"JUREL","III",0,"oil",2013
"MACHUELO O TRITRE","III",0,"oil",2013
"MERLUZA DE COLA","III",0,"oil",2013
"PAMPANITO","III",0,"oil",2013
"PESCADO NO CLASIFICADO","III",0,"oil",2013
"SARDINA AUSTRAL","III",0,"oil",2013
"SARDINA COMUN","III",0,"oil",2013
"JIBIA O CALAMAR ROJO","III",0,"oil",2013
"AGUJILLA","IV",0,"oil",2013
"ANCHOVETA","IV",0,"oil",2013
"BACALADILLO O MOTE","IV",0,"oil",2013
"CABALLA","IV",0,"oil",2013
"JUREL","IV",0,"oil",2013
"MACHUELO O TRITRE","IV",0,"oil",2013
"MERLUZA DE COLA","IV",0,"oil",2013
"PAMPANITO","IV",0,"oil",2013
"PESCADO NO CLASIFICADO","IV",0,"oil",2013
"SARDINA AUSTRAL","IV",0,"oil",2013
"SARDINA COMUN","IV",0,"oil",2013
"JIBIA O CALAMAR ROJO","IV",0,"oil",2013
"AGUJILLA","V",0,"oil",2013
"ANCHOVETA","V",0,"oil",2013
"BACALADILLO O MOTE","V",0,"oil",2013
"CABALLA","V",0,"oil",2013
"JUREL","V",0,"oil",2013
"MACHUELO O TRITRE","V",0,"oil",2013
"MERLUZA DE COLA","V",0,"oil",2013
"PAMPANITO","V",0,"oil",2013
"PESCADO NO CLASIFICADO","V",0,"oil",2013
"SARDINA AUSTRAL","V",0,"oil",2013
"SARDINA COMUN","V",0,"oil",2013
"JIBIA O CALAMAR ROJO","V",0,"oil",2013
"AGUJILLA","VI",0,"oil",2013
"ANCHOVETA","VI",0,"oil",2013
"BACALADILLO O MOTE","VI",0,"oil",2013
"CABALLA","VI",0,"oil",2013
"JUREL","VI",0,"oil",2013
"MACHUELO O TRITRE","VI",0,"oil",2013
"MERLUZA DE COLA","VI",0,"oil",2013
"PAMPANITO","VI",0,"oil",2013
"PESCADO NO CLASIFICADO","VI",0,"oil",2013
"SARDINA AUSTRAL","VI",0,"oil",2013
"SARDINA COMUN","VI",0,"oil",2013
"JIBIA O CALAMAR ROJO","VI",0,"oil",2013
