chl_name,sc_name,en_name,group,en_group,trade_name
AGUJILLA,Scomberesox saurus scombroides,King gar,pescado_otros,Fish,King gar
ALBACORA O PEZ ESPADA,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish
ALBACORA,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish
ALFONSINO,Beryx splendens,Splendid alfonsino,pescado_otros,Fish,Splendid alfonsino
ALMEJA,Venus antiqua,Chilean clam,almeja_otras,Clams,Clams
ANCHOVETA,Engraulis ringens,Anchoveta,pescado_otros,Fish,Peruvian anchoveta
ANCHOVETA BLANCA,Anchoa nasus,Longnose anchovy,pescado_otros,Fish,Anchovy
ANGUILA,Ophichthus spp.,eel,anguila,Eel,Eel
APANADO,Hemilutjanus macrophthalmos,Grape-eye seabass,pescado_otros,Fish,Grape-eye seabass
ATUN ALETA AMARILLA,Thunnus albacares,Yellowfin tuna,atunes,Tuna,Tuna
ATUN ALETA LARGA,Thunnus alalunga,Albacore,atunes,Tuna,Tuna
ATUN CHAUCHERA,Gatrochisma melampus,Butterfly kingfish,atunes,Tuna,Tuna
ATUN OJOS GRANDES,Thunnus obesus,Bigeye tuna,atunes,Tuna,Tuna
AYANQUE,Cynoscion analis,Peruvian weakfish,pescado_otros,Fish,Peruvian weakfish
AZULEJO,Prionace glauca,Blue shark,tiburon,Shark,Shark
BACALADILLO O MOTE,Normanichthys crockeri,Mote sculpin,pescado_otros,Fish,Mote sculpin
BACALADILLO,Normanichthys crockeri,Mote sculpin,pescado_otros,Fish,Mote sculpin
BACALAO DE PROFUNDIDAD,Dissostichus eleginoides,Patagonian toothfish,pescado_otros,Fish,Patagonian toothfish
BAGRE AGUA DULCE,Ictalurus punctatus,Channel catfish,pescado_otros,Fish,Channel catfish
BESUGO,Epigonus crassicaudus,BESUGO,pescado_otros,Fish,Sea bream
BLANQUILLO,Prolatilus jugularis,Pacific sandperch,pescado_otros,Fish,Pacific sandperch
BONITO,Sarda chiliensis,Eastern Pacific bonito,bonito,Bonito,Skipjack tuna
BRECA O BILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
BILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
BRECA,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
VILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
BRECA O VILAGAY,Cheilodactylus variegatus,Peruvian morwong,pescado_otros,Fish,Peruvian morwong
BROTULA,Salilota australis,Tadpole codling,pescado_otros,Fish,Tadpole codling
CABALLA,Scomber japonicus,Chub mackerel,caballa,Caballa,Mackerel
CABINZA,Isacia conceptionis,Cabinza grunt,pescado_otros,Fish,Cabinza grunt
CABRILLA,Paralabrax humeralis,Peruvian rock seabass,pescado_otros,Fish,Peruvian rock seabass
CABRILLA COMUN,Paralabrax humeralis,Peruvian rock seabass,pescado_otros,Fish,Peruvian rock seabass
CALAMAR,Loligo gahi,Patagonian squid,moluscos_otros,Mollusks,Squid
CAMARON DE ROCA,Rhynchocinetes typus,Rock shrimp,camaron_otro,Shrimp,Shrimp
CAMARON NAILON,Heterocarpus reedi,Chilean nylon shrimp,camaron_nai,Chilean nylon shrimp,Shrimp
CANGREJO DORADO DE J. FERNANDEZ,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crab
CANGREJO D. DE J. FERNANDEZ,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crab
CANGREJO DORADO DE JF,Chaceon chilensis,Juan Fernrndez golden crab,cangrejos_otros,Crabs,Crab
CANQUE,Stellifer minor,Minor stardrum,pescado_otros,Fish,Minor stardrum
CARACOL LOCATE,Thais chocolata,Snail locate,caracoles_otros,Gastropods,Snails
CARACOL PALO PALO,Argobuccinum spp.,Sanil palo palo,caracoles_otros,Gastropods,Snails
CARACOL PICUYO,Odontocymbiola magellanica,Snail picuyo,caracoles_otros,Gastropods,Snails
CARACOL PIQUILHUE,Adelomelon ancilla,Snail Piquilhue,caracoles_otros,Gastropods,Snails
CARACOL RUBIO,Xantochorus cassidiformis,Snail Rubio,caracoles_otros,Gastropods,Snails
CARACOL TEGULA,Tegula atra,Snail tegula,caracoles_otros,Gastropods,Snails
CARACOL TRUMULCO,Chorus giganteus,Snail trumulco,caracoles_otros,Gastropods,Snails
CENTOLLA,Lithodes santolla,Southern king crab,centolla,King crab,King crab
CENTOLLON,Paralomis granulosa,Softshell red crab,crustaceos_otros,Crustaceans,King crab
CENTOLLON DEL NORTE,Paralomis spp.,Northern crab,crustaceos_otros,Crustaceans,King crab
CHANCHARRO,Helicolenus lengerichi,Rockfish helicolenus,pescado_otros,Fish,Rockfish helicolenus
CHASCA,Gelidium rex,Red algae,alga,Algae,Algae
CHASCON O HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,alga,Algae,Algae
CHICOREA DE MAR,Chondracanthus chamissoi,Red algae chicorea,alga,Algae,Algae
CHOCHA,Trochita trochiformes,Snail trochita,moluscos_otros,Mollusks,Snails
CHOLGA,Aulacomya ater,Chilean ribbed mussel,mejillon,Mussels,Mussels
CHORITO,Mytilus chilensis,Chilean mussel,mejillon,Mussels,Mussels
CHORO,Choromytilus chorus,Chorus Mussel,mejillon,Mussels,Mussels
COCHAYUYO,Durvillaea antarctica,New Zealand bull,alga,Algae,Algae
COCHINILLA,Navodon Paschalis,Navodon,pescado_otros,Fish,Navodon
COJINOBA DEL NORTE,Seriolella violacea,Palm ruff,pescado_otros,Fish,Warehou
COJINOBA DEL SUR,Seriolella caerulea,White warehou,pescado_otros,Fish,Warehou
COJINOBA,Seriolella ,Warehou,pescado_otros,Fish,Warehou
COJINOBA MOTEADA,Seriolella punctata,Silver warehou,pescado_otros,Fish,Warehou
CONGRIO COLORADO,Genypterus chilensis,Red cusk-eel,congrio,Cusk-eel,Cusk-eel
CONGRIO DORADO,Genypterus blacodes,Pink cusk-eel,congrio,Cusk-eel,Cusk-eel
CONGRIO NEGRO,Genypterus maculatus,Black cusk-eel,congrio,Cusk-eel,Cusk-eel
CORVINA,Cilus gilberti,Corvina drum,pescado_otros,Fish,Corvina drum
CRUSTACEO NO CLASIFICADO,Crustacea,Crustaceans,crustaceos_otros,Crustaceans,Other crustaceans
CULENGUE,Gari solida,Pacific clam,almeja_otras,Clams,Clams
DORADO DE ALTURA,Coryphaena hippurus,Common dolphinfish,pescado_otros,Fish,Mahi Mahi
DRACO RAYADO,Champsocephalus gunnari,Mackerel icefish,pescado_otros,Fish,Mackerel icefish
ERIZO,Loxechinus albus,Chilean sea urchin,erizo,Sea urchin,Sea urchin
GAMBA,Haliporoides diomedeae,Chilean knife shrimp,gambas,Prawns,Prawns
HUAIQUIL O CORVINILLA,Micropogonias manni,Micropogonias manni,pescado_otros,Fish,Huaiquil
HUEPO O NAVAJA DE MAR,Ensis macha,Razor clam,navaja,Razor clam,Navaja de mar
HUIRO,Macrocystis spp.,Giant kelp,alga,Algae,Algae
HUIRO PALO,Lessonia trabeculata,Giant brown kelp,alga,Algae,Algae
JAIBA LIMON,Cancer porteri,Crab limon,jaiba,Jaiba,Crabs
JAIBA MARMOLA,Cancer edwardsi,Mola rock crab,jaiba,Jaiba,Crabs
JAIBA MORA,Homalaspis plana,Blackberry crab,jaiba,Jaiba,Crabs
JAIBA PANCHOTE O CANGREJO,Taliepus dentatus,Crab panchote,jaiba,Jaiba,Crabs
CANGREJO O PANCHOTE,Taliepus dentatus,Crab panchote,jaiba,Jaiba,Crabs
