especie_SERNAPESCA,sc_name,group,en_group
CHASCA,Gelidium rex,alga,Algae
CHASCON O HUIRO NEGRO,Lessonia nigrescens,alga,Algae
CHICOREA DE MAR,Chondracanthus chamissoi,alga,Algae
COCHAYUYO,Durvillaea antarctica,alga,Algae
HUIRO,Macrocystis spp.,alga,Algae
HUIRO PALO,Lessonia trabeculata,alga,Algae
LECHUGUILLA,Ulva lactuca,alga,Algae
LIQUEN GOMOSO,Gymnogongrus furcellatus,alga,Algae
LUCHE,Porphyra columbina,alga,Algae
LUGA CUCHARA O CORTA,Mazzaella laminarioides,alga,Algae
LUGA NEGRA O CRESPA,Sarcothalia crispata,alga,Algae
LUGA-ROJA,Gigartina skottsbergii,alga,Algae
PELILLO,Gracilaria spp.,alga,Algae
AGUJILLA,Scomberesox saurus scombroides,pescado_otros,Fish
ALBACORA O PEZ ESPADA / IVI HEHEU,Xiphias gladius,atunes,Tuna
ANCHOVETA,Engraulis ringens,pescado_otros,Fish
ANGUILA,Ophichthus spp.,anguila,Eel
ANGUILA BABOSA,Eptatretus polytrema,anguila,Eel
APANADO,Hemilutjanus macrophthalmos,pescado_otros,Fish
ATUN ALETA AMARILLA / KAHI AVE AVE,Thunnus albacares,atunes,Tuna
ATUN ALETA LARGA,Thunnus albacares,atunes,Tuna
ATUN CHAUCHERA,Gatrochisma melampus,atunes,Tuna
AZULEJO,Prionace glauca,tiburon,Shark
BACALADILLO O MOTE,Normanichthys crockeri,pescado_otros,Fish
BACALAO DE PROFUNDIDAD,Dissostichus eleginoides,pescado_otros,Fish
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO",Ruvettus pretiosus,pescado_otros,Fish
BESUGO,Epigonus crassicaudus,pescado_otros,Fish
BLANQUILLO,Prolatilus jugularis,pescado_otros,Fish
BONITO,Sarda chiliensis,bonito,Bonito
BRECA O BILAGAY,Cheilodactylus variegatus,pescado_otros,Fish
CABALLA,Scomber japonicus,caballa,Caballa
CABINZA,Isacia conceptionis,pescado_otros,Fish
CABRILLA COMUN,Paralabrax humeralis,pescado_otros,Fish
CABRILLA ESPANOLA,Sebastes capensis,pescado_otros,Fish
CANQUE,Stellifer minor,pescado_otros,Fish
CHANCHARRO,Helicolenus lengerichi,pescado_otros,Fish
CHASQUE O CHALACO,Auchenionchus spp.,pescado_otros,Fish
COJINOBA DEL NORTE / PIAFRI,Seriolella violacea,pescado_otros,Fish
COJINOBA DEL SUR O AZUL,Seriolella caerulea,pescado_otros,Fish
CONGRIO COLORADO,Genypterus chilensis,congrio,Cusk-eel
CONGRIO DORADO,Genypterus blacodes,congrio,Cusk-eel
CONGRIO NEGRO,Genypterus maculatus,congrio,Cusk-eel
CORVINA,Cilus gilberti,pescado_otros,Fish
DORADO DE ALTURA / MAHI MAHI,Coryphaena hippurus,pescado_otros,Fish
EMPERADOR,Luvarus imperialis,pescado_otros,Fish
JERGUILLA,Aplodactylus punctatus,pescado_otros,Fish
JUREL,Trachurus murphyi,jurel,Jack mackerel
JUREL DE JUAN FERNANDEZ,Caranx georgianus,jurel,Jack mackerel
LENGUADO,Paralichthys spp.,pescado_otros,Fish
LENGUADO DE OJOS CHICOS,Paralichthys microps,pescado_otros,Fish
LISA,Mugil cephalus,pescado_otros,Fish
MACHUELO O TRITRE,Ethmidium maculatum,pescado_otros,Fish
MARLIN,"Tetrapturus spp., Makaira spp",pescado_otros,Fish
MARLIN RAYADO,Tetrapturus auda,pescado_otros,Fish
MERLUZA COMUN,Merluccius gayi gayi,merluza,Hake
MERLUZA DE COLA,Macruronus magellanicus,merluza,Hake
MERLUZA DEL SUR O AUSTRAL,Merluccius australis,merluza,Hake
MORENA DE ALETA BAJA / KOREHA HA OKO,Gymnothorax porphyreus,anguila,Eel
PAMPANITO,Stromateus stellatus,pescado_otros,Fish
PAMPANITO DE JUAN FERNANDEZ,Scorpis chilensis,pescado_otros,Fish
PEJE GATO HOCICON,Apristurus nasutus,pescado_otros,Fish
PEJEGALLO,Callorhinchus callorhynchus,pescado_otros,Fish
PEJEPERRO,Semicossyphus maculatus,pescado_otros,Fish
PEJERREY DE MAR,Odontesthes regia,pescado_otros,Fish
PEJESAPO,Sicyases sanguin,pescado_otros,Fish
PESCADO NO CLASIFICADO,Pescado,pescado_otros,Fish
PEZ SOL,Lampris guttatus,pescado_otros,Fish
PICHIBUENO,Menticirrhus ophicephalus,pescado_otros,Fish
PUYE,Galaxias maculatus,pescado_otros,Fish
RAYA VOLANTIN,Zearaja chilensis,raya,Ray
REINETA,Brama australis,pescado_otros,Fish
ROBALO,Eleginops maclovinus,pescado_otros,Fish
ROCOCO,Paralonchurus peruanus,pescado_otros,Fish
ROLLIZO,Pinguipes chilensis,pescado_otros,Fish
RONCACHO,Sciaena deliciosa,pescado_otros,Fish
SALMON REY,Oncorhynchus tshawytscha,salmon,Salmon
SARDINA AUSTRAL,Sprattus fuegensis,sardina,Sprat and herring
SARDINA COMUN,Strangomera bentincki,sardina,Sprat and herring
SARDINA ESPANOLA,Sardinops sagax,sardina,Sprat and herring
SARGO,Anisotremus scapularis,pescado_otros,Fish
SIERRA,Thyrsites atun,tiburon,Shark
"TIBURON FUME, GRIS O GATA DE MAR",Hexanchus griseus,tiburon,Shark
TIBURON NARIGON GRIS,Deania calcea,tiburon,Shark
TIBURON O MARRAJO DENTUDO,Isurus oxyrinchus,tiburon,Shark
TIBURON SARDINERO,Lamna nasus,tiburon,Shark
TOLLO,Mustelus mento,tiburon,Shark
TOLLO DE CACHOS,Squalus acanthias,tiburon,Shark
TRUCHA ARCOIRIS,Oncorhynchus mykiss,trucha,Trout
TURBOT,Scophtalmus maximus,pescado_otros,Fish
"VIDRIOLA, PALOMETA, DORADO O TOREMO",Seriola lalandi,pescado_otros,Fish
VIEJA O MULATA,Graus nigra,pescado_otros,Fish
VINCIGUERRIA,Vinciguerria lucetia pacifici,pescado_otros,Fish
ABALON JAPONES,Haliotis discus hannai,abalon japones,Abalone
ABALON ROJO,Haliotis rufescens,abalon_otras,Abalone
ALMEJA,Venus antiqua,almeja_otras,Clams
ALMEJA O TACA,Protothaca taca,almeja_otras,Clams
CALAMAR,Loligo gahi,moluscos_otros,Mollusks
CARACOL LOCATE,Thais chocolata,caracoles_otros,Gastropods
CARACOL PALO PALO,Argobuccinum spp.,caracoles_otros,Gastropods
CARACOL PICUYO,Odontocymbiola magellanica,caracoles_otros,Gastropods
