especie_SERNAPESCA,nombre_cientifico_SERNAPESCA,nombre_cientifico_aduana,codigo_aduana,combined_with_other_species,product_more_20_percent,alive
CHASCA                                  ,Gelidium rex,Gelidium ,1212.2110,0,0,0
CHASCA                                  ,Gelidium rex,Gelidium ,1212.2910,0,0,0
CHASCON O HUIRO NEGRO                ,Lessonia nigrescens,Lessonia spp.,1212.2130,0,0,0
CHASCON O HUIRO NEGRO                ,Lessonia nigrescens,Lessonia spp.,1212.2930,0,0,0
CHICOREA DE MAR                     ,Chondracanthus chamissoi ,Gigartina spp.,1212.2150,0,0,0
CHICOREA DE MAR                     ,Chondracanthus chamissoi ,Gigartina spp.,1212.2950,0,0,0
COCHAYUYO                                ,Durvillaea antarctica ,Durvillaea Antarctica,1212.2170,0,0,0
COCHAYUYO                                ,Durvillaea antarctica ,Durvillaea Antarctica,1212.2970,0,0,0
HUIRO                                    ,Macrocystis spp.,Macrocystis spp.,1212.2160,0,0,0
HUIRO                                    ,Macrocystis spp.,Macrocystis spp.,1212.2960,0,0,0
HUIRO PALO                               ,Lessonia trabeculata,NA,NA,NA,NA,NA
LECHUGUILLA                              ,Ulva lactuca,NA,NA,NA,NA,NA
LIQUEN GOMOSO                            ,Gymnogongrus furcellatus ,NA,NA,NA,NA,NA 
LUCHE                                    ,Porphyra columbina ,NA,NA,NA,NA,NA 
LUGA CUCHARA O CORTA                     ,Mazzaella laminarioides,NA,NA,NA,NA,NA
LUGA NEGRA O CRESPA                      ,Sarcothalia crispata,NA,NA,NA,NA,NA 
LUGA-ROJA                                ,Gigartina skottsbergii,NA,NA,NA,NA,NA
PELILLO                                  ,Gracilaria spp.,Gracilaria spp.,1212.2120,0,0,0
PELILLO                                  ,Gracilaria spp.,Gracilaria spp.,1212.2920,0,0,0
AGUJILLA                       ,Scomberesox saurus scombroides,NA,NA,NA,NA,NA
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4710,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4720,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4730,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.5400,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.8400,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.9100,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0305.5400,1,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5710,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5720,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5790,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.4500,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4790,0,0,0
ANCHOVETA                                ,Engraulis ringens,Engraulis ringens,0305.3940,0,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0301.9200,0,0,1
ANGUILA,Ophichthus spp.,Anguilla spp.,0302.7400,0,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.5100,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.6400,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.3900,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.5200,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.6900,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.4400,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.3100,1,0,0
