PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2007,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,ESPECIE,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2007,Enero,I,13,Iquique,217,Bacalao de profundidad,"5,000,000",,,L,BN,PP
2007,Enero,I,13,Iquique,205,Anchoveta,"68,000",,,L,BN,PP
2007,Enero,I,13,Iquique,278,Sardina española,"68,000",,,L,BN,PP
2007,Enero,I,2,Arica,254,Palometa,"700,000",,2.400,B ,BN,CHD 
2007,Enero,I,2,Arica,220,Cabrilla,"800,000",,0.450,B,BN,CHD 
2007,Enero,I,2,Arica,230,Corvina,"1,800,000",,0.250,B,BN,CHD
2007,Enero,I,2,Arica,226,Cojinoba del norte,"1,500,000",,0.450,B,BN,CHD
2007,Enero,I,2,Arica,820,Piure,"100,000",,0.840,B,BN,CHD
2007,Enero,I,2,Arica,425,Cholga,"120,000",,1.000,B,BN,CHD
2007,Enero,I,2,Arica,450,Lapa,"500,000",,0.055,B,BN,CHD
2007,Enero,I,2,Arica,415,Caracol locate,"600,000",,0.126,B,BN,CHD
2007,Enero,I,2,Arica,254,Palometa,"600,000",,3.200,B,BN,CHD
2007,Enero,I,2,Arica,219,Cabinza,"400,000",,0.060,B,BN,CHD
2007,Enero,I,2,Arica,820,Piure,"100,000",,0.060,B,BN,CHD
2007,Enero,I,2,Arica,415,Caracol locate,"150,000",,0.160,B,BN,CHD
2007,Enero,I,2,Arica,450,Lapa,"600,000",,0.055,B,BN,CHD
2007,Enero,I,2,Arica,810,Erizo,"201,000",,0.048,B,BN,CHD
2007,Enero,I,8,Riquelme,254,Palometa,"600,000",,9.000,B,BN,CHD
2007,Enero,I,8,Riquelme,284,Tiburón o marrajo,"1,500,000",,0.200,B,BN,CHD
2007,Enero,I,8,Riquelme,226,Cojinoba del norte,"1,700,000",,0.400,B,BN,CHD
2007,Enero,I,8,Riquelme,260,Pejerrey de mar,"1,000,000",,0.140,,,
2007,Enero,I,8,Riquelme,450,Lapa,"1,200,000",,0.030,B,BN,CHD
2007,Enero,I,8,Riquelme,254,Palometa,"700,000",,8.400,B,BN,CHD
2007,Enero,I,8,Riquelme,284,Tiburón o marrajo,"1,500,000",,0.400,B,BN,CHD
2007,Enero,I,8,Riquelme,226,Cojinoba del norte,"1,750,000",,0.340,B,BN,CHD
2007,Enero,I,8,Riquelme,260,Pejerrey de mar,"1,000,000",,0.160,B,BN,CHD
2007,Enero,I,8,Riquelme,280,Sargo,"1,500,000",,0.120,B,BN,CHD
2007,Enero,I,10,Cavancha,291,Vilagay,"700,000",,0.190,B,BN,CHD
2007,Enero,I,10,Cavancha,221,Cabrilla común,"900,000",,0.010,B,BN,CHD
2007,Enero,I,10,Cavancha,254,Palometa,"450,000",,2.000,L,BN,CHD
2007,Enero,I,10,Cavancha,217,Bacalao de profundidad,"4,500,000",,0.700,L,BN,PP
2007,Enero,I,10,Cavancha,254,Palometa,"450,000",,3.100,L,BN,CHD
2007,Enero,I,10,Cavancha,291,Vilagay,"700,000",,0.040,B,BN,CHD
2007,Enero,II,60,Mejillones,406,Almeja,"400,000",,0.010,B,BN,CHD
2007,Enero,II,60,Mejillones,450,Lapa,"1,500,000",,0.010,B,BN,CHD
2007,Enero,II,60,Mejillones,425,Cholga,"500,000",,0.010,B,BN,CHD
2007,Enero,II,60,Mejillones,425,Cholga,"250,000",,0.004,B,BN,CHD
2007,Enero,II,60,Mejillones,406,Almeja,"500,000",,0.002,B,BN,CHD
2007,Enero,II,60,Mejillones,440,Culengue,"500,000",,0.006,B,BN,CHD
2007,Enero,II,60,Mejillones,450,Lapa,"500,000",,0.009,B,BN,CHD
2007,Enero,II,56,Taltal,220,Cabrilla,"800,000",,0.03,B,,CHD
2007,Enero,II,56,Taltal,145,Huiro,"50,000",,6,O,BN,PP
2007,Enero,II,56,Taltal,234,Jurel,"800,000",,0.012,B,,CHD
2007,Enero,II,56,Taltal,231,Dorado,"1,000,000",,0.015,B,,CHD
2007,Enero,II,56,Taltal,236,Lenguado,"2,200,000",,0.010,B,,CHD
2007,Enero,II,56,Taltal,262,Pejeperro,"1,200,000",,0.046,B,,CHD
2007,Enero,II,56,Taltal,145,Huiro,"70,000",,5.000,O,BN,PP
2007,Enero,II,50,Antofagasta,262,Pejeperro,"1,000,000",,0.015,B,BN,CHD
2007,Enero,II,50,Antofagasta,231,Dorado,"1,000,000",,0.010,B,BN,CHD
2007,Enero,II,50,Antofagasta,234,Jurel,"1,500,000",,0.120,B,BN,CHD
2007,Enero,II,50,Antofagasta,220,Cabrilla,"550,000",,0.016,B,BN,CHD
2007,Enero,II,46,Tocopilla,450,Lapa,"600,000",,0.018,B,BN,PP
2007,Enero,II,46,Tocopilla,227,Congrio colorado,"1,000,000",,0.015,L,BN,CHD
2007,Enero,II,46,Tocopilla,415,Caracol locate,"130,000",,1.020,B,BN,PP
2007,Enero,II,46,Tocopilla,450,Lapa,"600,000",,0.025,B,BN,PP
2007,Enero,II,46,Tocopilla,284,Tiburón o marrajo,"950,000",,0.240,L,BN,CHD
2007,Enero,II,46,Tocopilla,415,Caracol locate,"135,000",,0.850,B,BN,PP
2007,Enero,II,46,Tocopilla,221,Cabrilla común,"900,000",,0.031,B,BN,CHD
2007,Enero,III,78,Huasco,227,Congrio colorado,"1,500,000",,0.059,B,BN,CHD
2007,Enero,III,78,Huasco,229,Congrio negro,"1,000,000",,0.004,B,BN,CHD
2007,Enero,III,78,Huasco,220,Cabrilla,"800,000",,0.044,B,BN,CHD
2007,Enero,III,78,Huasco,234,Jurel,"800,000",,2.225,B,BN,CHD
2007,Enero,III,78,Huasco,262,Pejeperro,"800,000",,0.020,B,BN,CHD
2007,Enero,III,78,Huasco,230,Corvina,"1,500,000",,0.017,B,BN,CHD
2007,Enero,III,78,Huasco,258,Pejegallo,"1,500,000",,0.045,B,BN,CHD
2007,Enero,III,78,Huasco,286,Tollo,"1,500,000",,0.008,B,BN,CHD
2007,Enero,III,78,Huasco,227,Congrio colorado,"1,700,000",,0.276,B,BN,CHD
2007,Enero,III,78,Huasco,231,Dorado,"1,000,000",,1.322,B,BN,CHD
2007,Enero,III,78,Huasco,273,Rollizo,"800,000",,0.037,B,BN,CHD
2007,Enero,III,78,Huasco,234,Jurel,"800,000",,0.725,B,BN,CHD
2007,Enero,III,78,Huasco,262,Pejeperro,"800,000",,0.040,B,BN,CHD
2007,Enero,III,78,Huasco,252,Vieja o mulata,"1,000,000",,0.017,B,BN,CHD
2007,Enero,III,74,Chañaral,218,Caballa,"500,000",,0.090,B,BN,CHD
2007,Enero,III,74,Chañaral,234,Jurel,"1,000,000",,0.125,B,BN,CHD
2007,Enero,III,74,Chañaral,231,Dorado,"2,000,000",,0.075,B,BN,CHD
2007,Enero,III,76,Caldera,227,Congrio colorado,"2,000,000",,0.038,B,BN,CHD
2007,Enero,III,76,Caldera,258,Pejegallo,"1,000,000",,0.004,B,BN,CHD
2007,Enero,III,76,Caldera,284,Tiburón o marrajo,"700,000",,0.015,B,BN,CHD
2007,Enero,III,76,Caldera,262,Pejeperro,"800,000",,0.012,B,BN,CHD
2007,Enero,III,76,Caldera,450,Lapa,"500,000",,0.040,B,BN,CHD
2007,Enero,III,76,Caldera,273,Rollizo,"1,000,000",,0.002,B,BN,CHD
2007,Enero,III,76,Caldera,231,Dorado,"1,800,000",,0.100,B,BN,CHD
2007,Enero,III,76,Caldera,455,Loco,"700,000",,1.800,B,AM,PP
2007,Enero,III,76,Caldera,455,Loco,"500,000",,1.900,B,AM,PP
2007,Enero,III,74,Chañaral,220,Cabrilla,"1,500,000",,0.086,B,BN,CHD
2007,Enero,III,74,Chañaral,227,Congrio colorado,"2,000,000",,0.073,B,BN,CHD
2007,Enero,III,74,Chañaral,231,Dorado,"1,500,000",,0.069,B,BN,CHD
2007,Enero,III,74,Chañaral,234,Jurel,"670,000",,0.145,B,BN,CHD
2007,Enero,III,74,Chañaral,218,Caballa,"500,000",,0.070,B,BN,CHD
2007,Enero,IV,132,Talcaruca,455,Loco,"1,818,000",,0.300,B,,CHD
2007,Enero,IV,132,Talcaruca,227,Congrio colorado,"1,500,000",,15.000,B,,CHD
2007,Enero,IV,132,Talcaruca,252,Vieja o mulata,"800,000",,12.000,B,,CHD
2007,Enero,IV,132,Talcaruca,273,Rollizo,"800,000",,15.000,B,,CHD
2007,Enero,IV,122,Coquimbo,242,Merluza común,"333,000",,1.020,B,BN,CHD
2007,Enero,IV,122,Coquimbo,213,Blanquillo,"200,000",,0.040,B,BN,CHD
2007,Enero,IV,122,Coquimbo,218,Caballa,"100,000",,0.300,B,BN,CHD
2007,Enero,IV,122,Coquimbo,418,Caracol rubio,"200,000",,6.500,B,AM,PP
