PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Caleta,Nom_caleta,Especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2008,1,XV,2,ARICA,220,Cabrilla,"720,000",,0.07,B,BN,CHD,,,
2008,1,XV,2,ARICA,219,Cabinza,"500,000",,0.25,B,BN,CHD,,,
2008,1,XV,2,ARICA,272,Roncacho,"500,000",,0.08,B,BN,CHD,,,
2008,1,XV,2,ARICA,291,Bilagay,"600,000",,0.13,B,BN,CHD,,,
2008,1,XV,2,ARICA,254,Palometa,"800,000",,2.51,B,BN,CHD,,,
2008,1,XV,2,ARICA,820,Piure,"133,000",,0.48,B,BN,CHD,,,
2008,1,XV,2,ARICA,425,Cholga,"145,000",,0.20,B,BN,CHD,,,
2008,1,XV,2,ARICA,450,Lapa,"600,000",,0.01,B,BN,CHD,,,
2008,1,XV,2,ARICA,653,Jaiba peluda,"600,000",,0.01,B,BN,CHD,,,
2008,1,XV,2,ARICA,415,Caracol locate,"125,000",,0.16,B,BN,CHD,,,
2008,1,XV,2,ARICA,221,Cabrilla común,"720,000",,0.09,B,BN,CHD,,,
2008,1,XV,2,ARICA,272,Roncacho,"400,000",,0.11,B,BN,CHD,,,
2008,1,XV,2,ARICA,230,Corvina,"2,000,000",,0.13,B,BN,CHD,,,
2008,1,XV,2,ARICA,291,Bilagay,"600,000",,0.08,B,BN,CHD,,,
2008,1,XV,2,ARICA,820,Piure,"133,000",,0.30,B,BN,CHD,,,
2008,1,XV,2,ARICA,425,Cholga,"145,000",,0.25,B,BN,CHD,,,
2008,1,XV,2,ARICA,450,Lapa,"600,000",,0.06,B,BN,CHD,,,
2008,1,XV,2,ARICA,653,Jaiba peluda,"750,000",,0.32,B,BN,CHD,,,
2008,1,I,8,RIQUELME,254,Palometa,"650,000",,7.00,L,BN,CHD,,,
2008,1,I,8,RIQUELME,284,Tiburon o marrajo,"2,000,000",,0.80,L,BN,CHD,,,
2008,1,I,8,RIQUELME,219,Cabinza,"1,000,000",,0.18,B,BN,CHD,,,
2008,1,I,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.24,B,BN,CHD,,,
2008,1,I,8,RIQUELME,280,Sargo,"1,000,000",,0.18,B,BN,CHD,,,
2008,1,I,8,RIQUELME,226,Cojinoba del norte,"2,500,000",,0.12,L,BN,CHD,,,
2008,1,I,8,RIQUELME,254,Palometa,"650,000",,13.00,L,BN,CHD,,,
2008,1,I,8,RIQUELME,284,Tiburon o marrajo,"1,800,000",,0.60,L,BN,CHD,,,
2008,1,I,8,RIQUELME,230,Corvina,"2,000,000",,0.09,L,BN,CHD,,,
2008,1,I,8,RIQUELME,221,Cabrilla común,"880,000",,0.18,B,BN,CHD,,,
2008,1,I,8,RIQUELME,219,Cabinza,"1,000,000",,0.28,B,BN,CHD,,,
2008,1,I,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.28,B,BN,CHD,,,
2008,1,I,8,RIQUELME,280,Sargo,"840,000",,0.12,B,BN,CHD,,,
2008,1,I,8,RIQUELME,262,Pejeperro,"2,200,000",,0.03,B,BN,CHD,,,
2008,1,I,10,CAVANCHA,254,Palometa,"650,000",,3.80,B,BN,CHD,,,
2008,1,I,10,CAVANCHA,291,Bilagay,"1,000,000",,0.05,B,BN,CHD,,,
2008,1,I,10,CAVANCHA,284,Tiburon o marrajo,"1,200,000",,0.05,B,BN,CHD,,,
2008,1,I,10,CAVANCHA,254,Palometa,"650,000",,6.81,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,234,Jurel,"560,000",,0.03,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,285,Tomoyo,"500,000",,0.02,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,252,Vieja o mulata,"1,500,000",,0.01,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,220,Cabrilla,"900,000",,0.03,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,226,Cojinoba del norte,"1,800,000",,0.03,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,231,Dorado,"1,200,000",,0.15,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,236,Lenguado,"2,000,000",,0.01,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,430,Chorito,"80,000",,0.08,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,450,Lapa,"1,200,000",,0.04,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,406,Almeja,"300,000",,0.02,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,227,Congrio colorado,"2,500,000",,0.01,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,226,Cojinoba del norte,"2,700,000",,0.05,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,285,Tomoyo,"500,000",,0.01,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,220,Cabrilla,"900,000",,0.01,B,BN,CHD,,,
2008,1,II,50,ANTOFAGASTA,227,Congrio colorado,"2,500,000",,0.01,B,BN,CHD,,,
