PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2009,1,I ,10,CAVANCHA,266,Albacora o Pez espada,"1,800,000",,2.60,L,BN ,CHD,,,
2009,1,II,50,ANTOFAGASTA,220,Cabrilla,"2,700,000",,0.01,B ,BN,CHD,,,
2009,1,II,50,ANTOFAGASTA,214,Bonito,"1,700,000",,2.00,L,BN,CHD,,,
2009,1,II,50,ANTOFAGASTA,218,Caballa,"75,000",,0.25,B,BN,CHD,,,
2009,1,II,50,ANTOFAGASTA,234,Jurel,"130,000",,0.80,B,BN,CHD,,,
2009,1,II,50,ANTOFAGASTA,214,Bonito,"500,000",,3.00,L,BN,CHD,,,
2009,1,II,50,ANTOFAGASTA,234,Jurel,"165,000",,0.80,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,406,Almeja o taca,"400,000",,0.01,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,450,Lapa,"750,000",,0.01,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,425,Cholga,"500,000",,0.01,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,425,Cholga,"250,000",,0.01,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,406,Almeja o taca,"500,000",,0.01,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,440,Culengue,"500,000",,0.06,B,BN,CHD,,,
2009,1,II,60,MEJILLONES,450,Lapa,"500,000",,0.01,B,BN,CHD,,,
2009,1,II,56,TALTAL,145,Huiro ,"160,000",No disponible,10.20,O,BN,PP,,,
2009,1,II,56,TALTAL,450,Lapa,"450,000",,0.08,B,BN,CHD,,,
2009,1,II,56,TALTAL,227,Congrio colorado,"1,800,000",,0.04,B,BN,CHD,,,
2009,1,II,56,TALTAL,145,Huiro ,"110,000",No disponible,8.00,O,BN,PP,,,
2009,1,II,38,HUACHAN,141,Chacón o Huiro negro,"155,000",No disponible,1.80,O,BN,PP,,,
2009,1,II,38,HUACHAN,142,Huiro palo,"170,000",No disponible,2.30,O,BN,PP,,,
2009,1,II,38,HUACHAN,145,Huiro ,"140,000",No disponible,3.80,O,BN,PP,,,
2009,1,II,42,CALETA BUENA,406,Almeja o taca,"250,000",,0.12,B,BN,CHD,,,
2009,1,II,42,CALETA BUENA,229,Congrio negro,"1,600,000",,0.03,B,BN,CHD,,,
2009,1,II,42,CALETA BUENA,450,Lapa,"550,000",,0.08,O,BN,CHD,,,
2009,1,II,42,CALETA BUENA,252,Vieja o mulata,"1,300,000",,0.05,B,BN,CHD,,,
2009,1,II,42,CALETA BUENA,271,Rococo,"1,000,000",,0.03,B,BN,CHD,,,
2009,1,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.43,B,BN,CHD,,,
2009,1,III,78,HUASCO,450,Lapa,"500,000",,3.00,B,BN,CHD,,,
2009,1,III,78,HUASCO,231,Dorado de altura,"1,800,000",,0.51,B,BN,CHD,,,
2009,1,III,78,HUASCO,820,Piure,"120,000",,0.50,B,BN,CHD,,,
2009,1,III,78,HUASCO,252,Vieja o mulata,"1,000,000",,0.23,B,BN,CHD,,,
2009,1,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.19,B,BN,CHD,,,
2009,1,III,78,HUASCO,450,Lapa,"800,000",,5.11,B,AM,PP,,,
2009,1,III,78,HUASCO,231,Dorado de altura,"1,700,000",,0.57,B,BN,CHD,,,
2009,1,III,78,HUASCO,820,Piure,"120,000",,0.60,B,BN,CHD,,,
2009,1,III,78,HUASCO,252,Vieja o mulata,"1,000,000",,0.78,B,BN,CHD,,,
2009,1,III,78,HUASCO,213,Blanquillo,"1,000,000",,0.04,B,BN,CHD,,,
2009,1,III,78,HUASCO,282,Sierra,"1,000,000",,0.72,B,BN,CHD,,,
2009,1,III,78,HUASCO,220,Cabrilla,"1,000,000",,0.08,B,BN,CHD,,,
2009,1,III,78,HUASCO,230,Corvina,"1,000,000",,0.02,B,BN,CHD,,,
2009,1,III,78,HUASCO,262,Pejeperro,"1,000,000",,0.01,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,227,Congrio colorado,"2,200,000",,0.19,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,652,Jaiba mora,"800,000",,0.08,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,236,Lenguado,"3,200,000",,0.01,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,252,Vieja o mulata,"2,000,000",,0.02,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,273,Rollizo,"1,200,000",,0.02,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,229,Congrio negro,"1,000,000",,0.23,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,218,Caballa,"350,000",,0.06,L,BN,CHD,,,
2009,1,IV,122,COQUIMBO,236,Lenguado,"3,500,000",,0.02,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,234,Jurel,"500,000",,0.06,L,BN,CHD,,,
2009,1,IV,122,COQUIMBO,242,Merluza común,"600,000",,0.03,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,652,Jaiba mora,"800,000",,0.10,B,BN,CHD,,,
2009,1,IV,122,COQUIMBO,227,Congrio colorado,"2,500,000",,0.06,B,BN,CHD,,,
2009,1,V,230,SAN ANTONIO,242,Merluza común,"1,100,000",,0.09,B,BN,CHD,,,
2009,1,V,230,SAN ANTONIO,242,Merluza común,"1,000,000",,0.07,B,BN,CHD,,,
2009,1,V,230,SAN ANTONIO,242,Merluza común,"900,000",,0.04,B,BN,CHD,,,
2009,1,V,210,EL MEMBRILLO,242,Merluza común,"400,000",,0.80,B,BN,CHD,,,
2009,1,V,210,EL MEMBRILLO,242,Merluza común,"700,000",,8.00,B,BN,CHD,,,
2009,1,V,210,EL MEMBRILLO,242,Merluza común,"400,000",,0.30,B,BN,CHD,,,
2009,1,V,214,PORTALES,242,Merluza común,"600,000",,2.00,B,BN,CHD,,,
2009,1,V,230,SAN ANTONIO,242,Merluza común,"500,000",,0.20,B,BN,CHD,,,
2009,1,VI,256,LA BOCA DE RAPEL,238,,"1,200,000",,0.08,B,BN,CHD,,,
2009,1,VI,256,LA BOCA DE RAPEL,270,Róbalo,"1,200,000",,0.02,B,BN,CHD,,,
2009,1,VI,256,LA BOCA DE RAPEL,435,Choro,"700,000",,0.58,B,BN,CHD,,,
2009,1,VI,256,LA BOCA DE RAPEL,820,Piure,"166,000",,0.10,B,BN,CHD,,,
2009,1,VI,254,BUCALEMU,274,Reineta,"800,000",,0.50,B,BN,CHD,,,
2009,1,VI,254,BUCALEMU,242,Merluza común,"446,000",,0.56,B,BN,CHD,,,
2009,1,VI,246,PICHILEMU,242,Merluza común,"571,000",,0.17,B,BN,CHD,,,
2009,1,VI,246,PICHILEMU,655,Jaiba remadora,"900,000",,0.07,B,BN,CHD,,,
2009,1,VII,268,DUAO,242,Merluza común,"518,000",,5.40,B,BN,CHD,,,
2009,1,VII,268,DUAO,242,Merluza común,"444,000",,4.50,B,BN,CHD,,,
2009,1,VII,268,DUAO,274,Reineta,"600,000",,2.70,B,BN,PP,,,
2009,1,VIII,350,LO ROJAS,655,Jaiba remadora,"1,280,000",,0.78,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,260,Pejerrey de mar,"700,000",,1.00,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,227,Congrio colorado,"1,800,000",,0.42,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,229,Congrio negro,"840,000",,0.54,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,270,Róbalo,"950,000",,0.01,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,654,Jaiba marmola,"680,000",,0.45,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,444,Huepo o navaja de mar,"980,000",,0.01,B,BN,PP,,,
2009,1,VIII,350,LO ROJAS,465,Navajuela,"580,000",,,B,BN,PP,,,
2009,1,VIII,350,LO ROJAS,406,Almeja o taca,"480,000",,0.01,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,213,Blanquillo,"990,000",,0.20,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,234,Jurel,"450,000",,1.86,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,242,Merluza común,"795,000",,6.78,L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,258,Pejegallo,"1,100,000",,0.84,L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,820,Piure,"350,000",,0.56,L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,258,Pejegallo,"2,500,000",,2.60,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,654,Jaiba marmola,"800,000",,1.90,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,260,Pejerrey de mar,"650,000",,1.30,B - L,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,229,Congrio negro,"3,000,000",,0.60,B,BN,CHD,,,
2009,1,VIII,350,LO ROJAS,444,Huepo o navaja de mar,"985,000",,0.88,B,BN,PP,,,
2009,1,VIII,350,LO ROJAS,242,Merluza común,"2,000,000",,0.82,L,BN,CHD,,,
2009,1,VIII,310,TOMÉ,227,Congrio colorado,"1,800,000",,2.80,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,229,Congrio negro,"1,200,000",,0.60,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,242,Merluza común,"321,428",,11.25,L,BN,CHD,,,
2009,1,VIII,310,TOMÉ,260,Pejerrey de mar,"200,000",,1.20,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,220,Cabrilla,"266,666",,0.60,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,406,Almeja o taca,"312,500",,3.10,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,425,Cholga,"980,000",,2.40,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,450,Lapa,"830,000",,0.20,B,,CHD,,,
2009,1,VIII,310,TOMÉ,465,Navajuela,"750,000",,2.30,B,BN,CHD,,,
2009,1,VIII,310,TOMÉ,135,Luga - Luga,"100,000",No disponible,3.00,O,BN,PP,,,
2009,1,VIII,310,TOMÉ,227,Congrio colorado,"1,800,000",,1.50,B,BN,CHD,,,
