PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,I,8,RIQUELME,254,Palometa,"1,000,000",,3.760,L,BN ,CHD,
2010,1,I,8,RIQUELME,254,Palometa,"1,000,000",,2.800,L,BN ,CHD,
2010,1,I,8,RIQUELME,211,Azulejo,"800,000",,0.200,L,BN ,CHD,
2010,1,I,8,RIQUELME,284,Tiburón o marrajo,"2,000,000",,0.350,L,BN ,CHD,
2010,1,I,10,CAVANCHA,254,Palometa,"700,000",,4.600,L,BN,CHD,
2010,1,I,10,CAVANCHA,229,Congrio negro,"1,500,000",,0.040,B,BN,CHD,
2010,1,I,10,CAVANCHA,254,Palometa,"700,000",,4.400,L,BN,CHD,
2010,1,II,55,HUACHAN,141,Chascón o huiro negro,"90,000",40 - 50,1.500,O,BN,PP,
2010,1,II,55,HUACHAN,142,Huiro palo,"160,000",41 - 50,2.800,O,BN,PP,
2010,1,II,42,PAQUICA,141,Chascón o huiro negro,"100,000",42 - 50,3.000,O,BN,PP,
2010,1,II,42,PAQUICA,142,Huiro palo,"180,000",43 - 50,5.000,O,BN,PP,
2010,1,II,42,PAQUICA,450,Lapa,"700,000",,0.050,O,BN,CHD,
2010,1,II,60,MEJILLONES,406,Almeja,"400,000",,0.010,B,BN,CHD,
2010,1,II,60,MEJILLONES,450,Lapa,"1,500,000",,0.010,B,BN,CHD,
2010,1,II,60,MEJILLONES,425,Cholga,"500,000",,0.010,B,BN,CHD,
2010,1,II,60,MEJILLONES,425,Cholga,"400,000",,0.010,B,BN,CHD,
2010,1,II,60,MEJILLONES,450,Lapa,"500,000",,0.010,B,BN,CHD,
2010,1,II,50,ANTOFAGASTA,230,Corvina,"800,000",,0.015,B,BN,CHD,
2010,1,II,50,ANTOFAGASTA,220,Cabrilla,"800,000",,0.012,B,BN,CHD,
2010,1,II,50,ANTOFAGASTA,231,Dorado,"1,200,000",,0.045,B,BN,CHD,
2010,1,II,50,ANTOFAGASTA,226,Cojinoba del norte,"3,000,000",,0.040,B,BN,CHD,
2010,1,II,50,ANTOFAGASTA,220,Cabrilla,"1,300,000",,0.015,B,BN,CHD,
2010,1,II,56,TALTAL,227,Congrio colorado,"2,800,000",,0.040,B,,CHD,
2010,1,II,56,TALTAL,145,Huiro,"80,000",40-50,5.000,O,,PP,
2010,1,II,56,TALTAL,226,Cojinoba del norte,"1,500,000",,0.023,B,,CHD,
2010,1,II,56,TALTAL,485,Pulpo,"1,450,000",,1.800,O,,PP,
2010,1,II,56,TALTAL,231,Dorado,"2,700,000",,0.036,B,,CHD,
2010,1,II,56,TALTAL,207,Apañado,"1,800,000",,0.010,B,,CHD,
2010,1,II,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.025,B,,CHD,
2010,1,II,56,TALTAL,227,Congrio colorado,"2,400,000",,0.030,B,,CHD,
2010,1,II,56,TALTAL,280,Sargo,"1,000,000",,0.012,B,,CHD,
2010,1,III,78,HUASCO,227,Congrio colorado,"2,000,000",,0.600,B,BN,CHD,
2010,1,III,78,HUASCO,231,Dorado,"1,800,000",,0.364,B,BN,CHD,
2010,1,III,78,HUASCO,252,Vieja o mulata,"1,300,000",,0.780,B,BN,CHD,
2010,1,III,78,HUASCO,229,Congrio negro,"1,000,000",,0.356,B,BN,CHD,
2010,1,III,78,HUASCO,220,Cabrilla,"1,300,000",,0.114,B,BN,CHD,
2010,1,III,78,HUASCO,230,Corvina,"1,700,000",,0.160,B,BN,CHD,
2010,1,III,78,HUASCO,262,Pejeperro,"1,000,000",,0.010,B,BN,CHD,
