PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2011,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2011,Enero,XV,4,ARICA,221,Cabrilla común,"1,600,000",,0.03,B,BN,CHD
2011,Enero,XV,4,ARICA,820,Piure,"1,000,000",,0.30,B,BN,CHD
2011,Enero,XV,4,ARICA,284,Tiburón o marrajo,"4,000,000",,1.70,B,BN,CHD
2011,Enero,XV,4,ARICA,450,Lapa,"700,000",,0.05,B,BN,CHD
2011,Enero,XV,4,ARICA,234,Jurel,"1,800,000",,0.02,B,BN,CHD
2011,Enero,XV,4,ARICA,221,Cabrilla común,"1,600,000",,0.03,B,BN,CHD
2011,Enero,XV,4,ARICA,820,Piure,"1,000,000",,0.30,B,BN,CHD
2011,Enero,XV,4,ARICA,284,Tiburón o marrajo,"4,000,000",,1.70,B,BN,CHD
2011,Enero,XV,4,ARICA,450,Lapa,"700,000",,0.05,B,BN,CHD
2011,Enero,I,8,RIQUELME,254,Palometa,"1,300,000",,2.56,L,BN,CHD
2011,Enero,I,8,RIQUELME,284,Tiburón o marrajo,"2,000,000",,0.72,L,BN,CHD
2011,Enero,I,8,RIQUELME,254,Palometa,"1,300,000",,2.40,L,BN,CHD
2011,Enero,I,8,RIQUELME,284,Tiburón o marrajo,"1,800,000",,1.37,L,BN,CHD
2011,Enero,I,8,RIQUELME,229,Congrio negro,"1,800,000",,0.70,B,BN,CHD
2011,Enero,I,8,RIQUELME,221,Cabrilla común,"1,200,000",,0.23,B,BN,CHD
2011,Enero,I,10,CAVANCHA,229,Congrio negro,"1,200,000",,0.04,B,BN,CHD
2011,Enero,I,10,CAVANCHA,266,Albacora o pez espada,"1,800,000",,2.00,L,BN,CHD
2011,Enero,I,10,CAVANCHA,226,Cojinoba del norte,"1,200,000",,0.04,L,BN,CHD
2011,Enero,I,10,CAVANCHA,221,Cabrilla común,"1,100,000",,0.04,L,BN,CHD
2011,Enero,II,56,TALTAL,227,Congrio colorado,"2,300,000",,0.01,B,BN,CHD
2011,Enero,II,56,TALTAL,226,Cojinoba del norte,"1,500,000",,0.01,B,BN,CHD
2011,Enero,II,56,TALTAL,207,Apañado,"800,000",,0.01,B,BN,CHD
2011,Enero,II,56,TALTAL,227,Congrio colorado,"2,400,000",,0.01,B,BN,CHD
2011,Enero,II,56,TALTAL,653,Jaiba peluda,"600,000",,0.03,B,BN,CHD
2011,Enero,II,56,TALTAL,234,Jurel,"800,000",,0.02,B,BN,CHD
2011,Enero,II,56,TALTAL,271,Rococó,"800,000",,0.03,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,226,Cojinoba del norte,"3,300,000",,0.06,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,234,Jurel,"500,000",,0.04,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,207,Apañado,"750,000",,0.02,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,280,Sargo,"2,500,000",,0.01,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,291,Vilagay,"800,000",,0.02,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,231,Dorado de altura,"3,500,000",,0.06,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,207,Apañado,"625,000",,0.01,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,234,Jurel,"300,000",,0.02,B,BN,CHD
2011,Enero,II,50,ANTOFAGASTA,284,Tiburón o marrajo,"1,600,000",,1.05,L,BN,CHD
2011,Enero,II,46,TOCOPILLA,145,Huiro,"80,000",50,1.25,O,BN,PP
2011,Enero,II,46,TOCOPILLA,141,Chascón o huiro negro,"120,000",50,2.80,O,BN,PP
2011,Enero,II,46,TOCOPILLA,142,Huiro palo,"140,000",50,1.60,O,BN,PP
2011,Enero,II,46,TOCOPILLA,450,Lapa,"1,150,000",,0.06,B,BN,PP
2011,Enero,II,46,TOCOPILLA,226,Cojinoba del norte,"1,000,000",,0.03,L,BN,CHD
2011,Enero,II,46,TOCOPILLA,227,Congrio colorado,"2,000,000",,0.03,L,BN,CHD
2011,Enero,II,46,TOCOPILLA,229,Congrio negro,"2,500,000",,0.02,L,BN,CHD
2011,Enero,II,46,TOCOPILLA,221,Cabrilla común,"1,500,000",,0.04,L,BN,CHD
2011,Enero,II,46,TOCOPILLA,207,Apañado,"1,500,000",,0.02,B,BN,CHD
2011,Enero,III,78,HUASCO,226,Cojinoba del norte,"1,300,000",,0.06,B,BN,CHD
2011,Enero,III,78,HUASCO,220,Cabrilla,"1,300,000",,0.01,B,BN,CHD
2011,Enero,III,78,HUASCO,227,Congrio colorado,"2,200,000",,0.23,B,BN,CHD
2011,Enero,III,78,HUASCO,231,Dorado de altura,"2,500,000",,0.30,B,BN,CHD
2011,Enero,III,78,HUASCO,234,Jurel,"1,200,000",,1.45,B,BN,CHD
2011,Enero,III,78,HUASCO,640,Jaiba,"350,000",,0.02,B,BN,CHD
2011,Enero,III,78,HUASCO,450,Lapa,"1,300,000",,0.02,B,BN,CHD
2011,Enero,III,78,HUASCO,450,Lapa,"1,300,000",,0.71,B,BN,CHD
2011,Enero,III,78,HUASCO,640,Jaiba,"350,000",,0.93,B,BN,CHD
2011,Enero,III,78,HUASCO,820,Piure,"120,000",,3.10,B,BN,CHD
2011,Enero,III,78,HUASCO,226,Cojinoba del norte,"1,500,000",,0.03,B,BN,CHD
2011,Enero,III,78,HUASCO,230,Corvina,"1,500,000",,0.03,B,BN,CHD
2011,Enero,III,78,HUASCO,278,Sardina española,"900,000",,0.02,B,BN,CHD
2011,Enero,III,78,HUASCO,218,Caballa,"1,100,000",,0.35,B,BN,CHD
2011,Enero,III,78,HUASCO,227,Congrio colorado,"2,300,000",,0.12,B,BN,CHD
2011,Enero,III,78,HUASCO,252,Vieja o mulata,"1,500,000",,0.01,B,BN,CHD
2011,Enero,III,78,HUASCO,207,Apañado,"1,500,000",,0.03,B,BN,CHD
2011,Enero,III,78,HUASCO,221,Cabrilla común,"1,500,000",,0.03,B,BN,CHD
2011,Enero,III,78,HUASCO,242,Merluza común,"1,500,000",,0.11,B,BN,CHD
2011,Enero,III,78,HUASCO,282,Sierra,"1,100,000",,0.15,B,BN,CHD
2011,Enero,III,78,HUASCO,236,Lenguado,"3,000,000",,0.08,B,BN,CHD
2011,Enero,III,78,HUASCO,231,Dorado de altura,"2,000,000",,0.36,B,BN,CHD
2011,Enero,III,78,HUASCO,262,Pejeperro,"1,500,000",,0.03,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,445,Jibia,"300,000",,0.10,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,207,Apañado,"2,000,000",,0.03,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,273,Rollizo,"1,800,000",,0.03,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,236,Lenguado,"5,000,000",,0.03,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,242,Merluza común,"600,000",,0.10,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,234,Jurel,"500,000",,0.02,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,227,Congrio colorado,"2,500,000",,0.17,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,229,Congrio negro,"1,500,000",,0.05,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,445,Jibia,"110,000",,10.74,B,BN,PP
2011,Enero,IV,122,COQUIMBO,242,Merluza común,"600,000",,0.18,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,234,Jurel,"800,000",,0.06,B,BN,CHD
2011,Enero,IV,122,COQUIMBO,230,Corvina,"2,200,000",,0.20,B,BN,CHD
2011,Enero,V,230,SAN ANTONIO,242,Merluza común,"900,000",,0.30,B,BN,CHD
2011,Enero,V,230,SAN ANTONIO,242,Merluza común,"900,000",,0.25,B,BN,CHD
2011,Enero,V,230,SAN ANTONIO,242,Merluza común,"900,000",,0.55,B,BN,CHD
2011,Enero,V,230,SAN ANTONIO,242,Merluza común,"900,000",,0.10,B,BN,CHD
2011,Enero,VI,246,PICHILEMU,242,Merluza común,"714,285",,0.15,B,BN,CHD
2011,Enero,VI,246,PICHILEMU,258,Pejegallo,"700,000",,0.03,B,BN,CHD
2011,Enero,VI,254,BUCALEMU,242,Merluza común,"892,857",,0.56,B,BN,CHD
2011,Enero,VI,254,BUCALEMU,242,Merluza común,"535,714",,0.56,B,BN,CHD
2011,Enero,VI,254,BUCALEMU,115,Chasca,"875,000",50,0.35,O,BN,CHD
2011,Enero,VI,254,BUCALEMU,130,Pelillo,"250,000",50,0.79,O,BN,CHD
2011,Enero,VI,254,BUCALEMU,242,Merluza común,"535,714",,0.56,B,BN,CHD
2011,Enero,VI,254,BUCALEMU,242,Merluza común,"285,714",,1.12,B,BN,CHD
2011,Enero,VI,254,BUCALEMU,242,Merluza común,"285,714",,1.40,B,BN,CHD
2011,Enero,VII,268,DUAO,242,Merluza común,"222,000",,0.03,,BN,CHD
2011,Enero,VII,268,DUAO,242,Merluza común,"296,000",,0.03,,BN,CHD
2011,Enero,VII,268,DUAO,242,Merluza común,"223,000",,3.00,B,BN,CHD
2011,Enero,VII,284,PELLUHUE,230,Corvina,"1,200,000",,0.00,B,BN,CHD
2011,Enero,VII,284,PELLUHUE,242,Merluza común,"260,000",,0.00,B,BN,CHD
2011,Enero,VII,284,PELLUHUE,213,Blanquillo,"5,000,000",,0.03,B,BN,CHD
2011,Enero,VII,286,CURANIPE,242,Merluza común,"333,333",,0.03,,BN,CHD
2011,Enero,VII,286,CURANIPE,242,Merluza común,"370,370",,0.03,,BN,CHD
2011,Enero,VII,286,CURANIPE,655,Jaiba remadora,"1,250,000",,0.00,B,BN,CHD
2011,Enero,VII,282,LOANCO,820,Piure,"500,000",,0.00,,BN,CHD
2011,Enero,VII,282,LOANCO,110,Cochayuyo,"1,000,000",20,0.00,,BN,PP
2011,Enero,VII,282,LOANCO,150,Luche,"500,000",,0.00,,BN,CHD
2011,Enero,VII,282,LOANCO,655,Jaiba remadora,"1,500,000",,0.00,,BN,CHD
2011,Enero,VII,282,LOANCO,115,Chasca,"700,000",50,0.00,,BN,CHD
2011,Enero,VII,282,LOANCO,242,Merluza común,"222,000",,0.03,,BN,CHD
2011,Enero,VII,282,LOANCO,242,Merluza común,"370,370",,0.03,,BN,CHD
2011,Enero,VII,282,LOANCO,230,Corvina,"2,500,000",,0.00,B,BN,CHD
2011,Enero,VII,282,LOANCO,227,Congrio colorado,"2,300,000",,0.00,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,217,Bacalao de profundidad,"5,000,000",,0.00,L,BN,PP
2011,Enero,VII,636,MAGUILLINES,217,Bacalao de profundidad,"4,800,000",,0.00,L,BN,PP
2011,Enero,VII,636,MAGUILLINES,242,Merluza común,"259,259",,0.03,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,242,Merluza común,"296,000",,0.03,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,230,Corvina,"1,800,000",,0.00,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,229,Congrio negro,"800,000",,0.00,B,BN,CHD
