PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2014,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2014,1,15,4,ARICA,234,Jurel,"1,000,000",,0.04,B,BN ,CHD 
2014,1,15,4,ARICA,254,Palometa,"1,700,000",,0.09,B,BN ,CHD 
2014,1,15,4,ARICA,272,Roncacho,"2,000,000",,0.03,B,BN ,CHD 
2014,1,15,4,ARICA,254,Palometa,"1,700,000",,0.07,B,BN ,CHD 
2014,1,15,4,ARICA,280,Sargo,"2,500,000",,0.03,B,BN ,CHD 
2014,1,15,4,ARICA,234,Jurel,"1,000,000",,0.03,B,BN ,CHD 
2014,1,1,8,RIQUELME,231,Dorado de altura,"2,000,000",,2,L,BN,CHD
2014,1,1,8,RIQUELME,226,Cojinoba del norte,"8,000,000",,0.8,B,BN,CHD
2014,1,1,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.08,B,BN,CHD
2014,1,1,8,RIQUELME,231,Dorado de altura,"2,000,000",,1.5,L,BN,CHD
2014,1,1,8,RIQUELME,219,Cabinza,"3,000,000",,0.003,B,BN,CHD
2014,1,1,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.08,B,BN,CHD
2014,1,1,10,CAVANCHA,221,Cabrilla común,"1,500,000",,0.08,B,BN,CHD
2014,1,1,10,CAVANCHA,204,Breca o Bilagay,"1,500,000",,0.07,B,BN,CHD
2014,1,1,10,CAVANCHA,435,Choro,"1,000,000",,0.05,B,BN,CHD
2014,1,1,10,CAVANCHA,231,Dorado de altura,"1,500,000",,3,L,BN,CHD
2014,1,2,56,TALTAL,141,Chascon o huiro negro,"400,000",30,5,O,BN,PP
