PRECIOS DE PRIMERA TRANSACCI年 ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2015,,,,,,,,,,,,
,,,,,,,,,,,,
A絨,MES,REGI年,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2015,1,15,4,ARICA,254,Palometa,"1,500,000",,0.7,B,BN,CHD
2015,1,15,4,ARICA,820,Piure,"1,000,000",,0.05,B,BN,CHD
2015,1,15,4,ARICA,254,Palometa,"1,500,000",,0.1,B,BN,CHD
2015,1,15,4,ARICA,820,Piure,"1,000,000",,0.07,B,BN,CHD
2015,1,15,4,ARICA,406,Almeja,"1,000,000",,0.03,B,BN,CHD
2015,1,15,4,ARICA,238,Lisa,"1,500,000",,0.02,B,BN,CHD
2015,1,1,8,RIQUELME,231,Dorado,"1,800,000",,0.4,L,BN,CHD
2015,1,1,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.12,B,BN,CHD
2015,1,2,46,TOCOPILLA,284,Tiburon o marrajo,"1,300,000",,1.5,L,BN,CHD
2015,1,2,46,TOCOPILLA,211,Azulejo,"500,000",,1,L,BN,CHD
2015,1,2,46,TOCOPILLA,142,Huiro palo,"240,000",30,2,O,BN,PP
2015,1,2,46,TOCOPILLA,141,Huiro negro,"160,000",30,3,O,BN,PP
2015,1,2,60,MEJILLONES,141,Huiro negro,"200,000",30,5,O,BN,PP
2015,1,2,60,MEJILLONES,141,Huiro negro,"200,000",30,4.08,O,BN,PP
2015,1,2,60,MEJILLONES,142,Huiro palo,"230,000",30,4.23,O,BN,PP
2015,1,2,60,MEJILLONES,415,Caracol locate,"2,000,000",,0.758,O,BN,PP
2015,1,2,56,TALTAL,141,Huiro negro,"150,000",30,3,O,BN,PP
2015,1,2,56,TALTAL,451,Lapa negra,"500,000",,0.025,O,BN,PP
2015,1,2,56,TALTAL,236,Lenguado,"3,500,000",,0.02,B,BN,CHD
2015,1,2,56,TALTAL,252,Vieja o mulata,"3,000,000",,0.07,B,BN,CHD
2015,1,2,56,TALTAL,262,Pejeperro,"2,500,000",,0.018,B,BN,CHD
2015,1,2,56,TALTAL,207,Apanado,"2,500,000",,0.02,B,BN,CHD
2015,1,2,56,TALTAL,141,Huiro negro,"130,000",30,2,O,BN,PP
2015,1,2,56,TALTAL,142,Huiro palo,"180,000",30,0.3,O,BN,PP
2015,1,2,56,TALTAL,451,Lapa negra,"500,000",,0.019,O,BN,PP
2015,1,2,56,TALTAL,227,Congrio colorado,"3,000,000",,0.04,B,BN,CHD
2015,1,2,56,TALTAL,226,Cojinoba del norte,"2,000,000",,0.05,B,BN,CHD
2015,1,2,56,TALTAL,220,Cabrilla,"1,800,000",,0.008,B,BN,CHD
