PRECIOS DE PRIMERA TRANSACCI”N ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
AãO,MES,REGI”N,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2016,1,15,4,ARICA,254,Palometa,"2,000,000",,0.05,B,BN,CHD,
2016,1,15,4,ARICA,272,Roncacho,"1,500,000",,0.04,B,BN,CHD,
2016,1,15,4,ARICA,406,Almeja,"1,000,000",,0.03,B,BN,CHD,
2016,1,15,4,ARICA,451,Lapa negra,"1,500,000",,0.04,B,BN,CHD,
2016,1,15,4,ARICA,254,Palometa,"1,500,000",,0.08,B,BN,CHD,
2016,1,15,4,ARICA,406,Almeja,"1,000,000",,0.03,B,BN,CHD,
2016,1,15,4,ARICA,820,Piure,"800,000",,0.06,B,BN,CHD,
2016,1,15,4,ARICA,435,Choro,"1,500,000",,0.03,B,BN,CHD,
2016,1,15,4,ARICA,238,Lisa,"1,500,000",,0.02,B,BN,CHD,
2016,1,1,8,RIQUELME,231,Dorado,"3,000,000",,0.27,L,BN,CHD,
2016,1,1,8,RIQUELME,231,Dorado,"2,100,000",,0.8,L,BN,CHD,
2016,1,2,46,TOCOPILLA,231,Dorado,"2,500,000",,2,L,BN,CHD,
2016,1,2,46,TOCOPILLA,226,Cojinoba del norte,"2,200,000",,0.03,L,BN,CHD,
2016,1,2,46,TOCOPILLA,280,Sargo,"700,000",,0.06,L,BN,CHD,
2016,1,2,46,TOCOPILLA,451,Lapa negra,"800,000",,0.38,O,BN,PP,
2016,1,2,46,TOCOPILLA,141,Chascon o huiro negro,"150,000",46,7.1,O,BN,PP,
2016,1,2,46,TOCOPILLA,142,Huiro palo,"300,000",53,4.05,O,BN,PP,
2016,1,2,60,MEJILLONES,221,Cabrilla comun,"1,100,000",,1,O,BN,CHD,
2016,1,2,60,MEJILLONES,142,Huiro palo,"180,000",53,1,O,BN,PP,
2016,1,2,60,MEJILLONES,141,Chascon o huiro negro,"110,000",46,1,O,BN,PP,
2016,1,2,60,MEJILLONES,227,Congrio colorado,"2,000,000",,1,B,BN,CHD,
2016,1,2,60,MEJILLONES,406,Almeja,"420,000",,1,O,BN,CHD,
2016,1,2,60,MEJILLONES,142,Huiro palo,"180,000",53,1,O,BN,PP,
2016,1,2,60,MEJILLONES,141,Chascon o huiro negro,"110,000",46,1,O,BN,PP,
2016,1,2,60,MEJILLONES,465,Navajuela,"550,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,141,Chascon o huiro negro,"210,000",46,1,O,AM,PP,
2016,1,2,56,TALTAL,142,Huiro palo,"350,000",53,1,O,BN,PP,
2016,1,2,56,TALTAL,451,Lapa negra,"700,000",,1,O,AM,PP,
2016,1,2,56,TALTAL,262,Pejeperro,"3,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,207,Apanado,"2,500,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,227,Congrio colorado,"3,200,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,231,Dorado,"2,000,000",,1,B-L,BN,CHD,
2016,1,2,56,TALTAL,226,Cojinoba del norte,"2,000,000",,1,B -L,BN,CHD,
2016,1,2,56,TALTAL,221,Cabrilla comun,"1,800,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,252,Vieja o mulata,"3,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,236,Lenguado de ojos chicos,"3,500,000",,1,B -O,BN,CHD,
2016,1,2,56,TALTAL,141,Chascon o huiro negro,"220,000",46,1,O,AM,PP,
2016,1,2,56,TALTAL,142,Huiro palo,"340,000",53,1,O,B,PP,
2016,1,2,56,TALTAL,451,Lapa negra,"700,000",,1,O,AM,PP,
2016,1,2,56,TALTAL,262,Pejeperro,"3,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,207,Apanado,"2,500,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,227,Congrio colorado,"3,300,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,231,Dorado,"2,000,000",,1,B - L,BN,CHD,
2016,1,2,56,TALTAL,226,Cojinoba del norte,"2,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,221,Cabrilla comun,"2,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,252,Vieja o mulata,"3,000,000",,1,B,BN,CHD,
2016,1,2,56,TALTAL,236,Lenguado de ojos chicos,"3,500,000",,1,B-O,BN,CHD - PP,
2016,1,2,50,ANTOFAGASTA,141,Chascon o huiro negro,"180,000",46,1,O,BN,PP,
2016,1,2,50,ANTOFAGASTA,142,Huiro palo,"250,000",53,1,O,BN,PP,
2016,1,2,50,ANTOFAGASTA,425,Cholga,"250,000",,1,B,BN,CHD,
2016,1,3,76,CALDERA,820,Piure,"250,000",,,B,,PP,
2016,1,3,76,CALDERA,234,Jurel,"750,000",,,B,BN,PP,
2016,1,3,76,CALDERA,227,Congrio colorado,"3,500,000",,,B,,PP,
2016,1,3,76,CALDERA,282,Sierra,"2,000,000",,,B,BN,PP,
2016,1,3,76,CALDERA,226,Cojinoba del norte,"2,500,000",,,O,,PP,
2016,1,3,76,CALDERA,230,Corvina,"3,000,000",,,O,,PP,
2016,1,3,76,CALDERA,231,Dorado,"3,000,000",,,O,,PP,
2016,1,3,76,CALDERA,242,Merluza comun,"1,200,000",,,B,BN,PP,
2016,1,3,76,CALDERA,218,Caballa,"2,000,000",,,O,BN,PP,
2016,1,3,76,CALDERA,221,Cabrilla comun,"2,500,000",,,O,BN,CHD,
2016,1,3,76,CALDERA,227,Congrio colorado,"3,500,000",,,O,BN,CHD,
2016,1,3,76,CALDERA,236,Lenguado de ojos chicos,"6,000,000",,,B,BN,CHD,
2016,1,3,76,CALDERA,412,Caracol tegula,"500,000",,,B,BN,CHD,
2016,1,3,76,CALDERA,252,Vieja o mulata,"3,500,000",,,B,BN,PP,
2016,1,3,76,CALDERA,445,Jibia o calamar rojo ,"1,000,000",,,O,BN,PP,
2016,1,5,230,SAN ANTONIO,651,Jaiba limon,"950,000",,,B,BN,CHD,
2016,1,5,230,SAN ANTONIO,242,Merluza comun,"1,200,000",,,B - L,BN,CHD,
2016,1,5,230,SAN ANTONIO,229,Congrio negro,"1,500,000",,,B - L,BN,CHD,
2016,1,5,230,SAN ANTONIO,236,Lenguado de ojos chicos,"2,277,500",,,B,BN,CHD,
2016,1,5,230,SAN ANTONIO,282,Sierra,"1,200,000",,,B-L,BN,CHD,
2016,1,5,230,SAN ANTONIO,231,Dorado,"1,150,000",,,B,BN,CHD,
2016,1,5,230,SAN ANTONIO,230,Corvina,"2,250,000",,,B,BN,CHD,
2016,1,5,230,SAN ANTONIO,227,Congrio colorado,"4,250,000",,,B,BN,CHD,
2016,1,7,266,LLICO,242,Merluza comun,"296,300",,,B,BN,CHD,
2016,1,7,266,LLICO,242,Merluza comun,"370,400",,0.001,B,BN,CHD,
2016,1,7,266,LLICO,274,Reineta,"500,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,242,Merluza comun,"481,500",,,B,BN,CHD,
2016,1,7,268,DUAO,274,Reineta,"100,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,242,Merluza comun,"444,444",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,234,Jurel,"300,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,229,Congrio negro,"1,000,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,258,Pejegallo,"900,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,242,Merluza comun,"370,400",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,274,Reineta,"1,500,000",,0.001,B,BN,CHD,
2016,1,7,268,DUAO,242,Merluza comun,"740,800",,0.001,B,BN,CHD,
2016,1,7,286,CURANIPE,242,Merluza comun,"50,000",,0.135,B,BN,CHD,
2016,1,7,286,CURANIPE,274,Reineta,"1,440,000",,1.2,B,BN,CHD,
2016,1,7,286,CURANIPE,242,Merluza comun,"948,148",,2.56,B,BN,CHD,
2016,1,7,286,CURANIPE,274,Reineta,"750,000",,1.5,B,BN,CHD,
2016,1,8,336,SAN VICENTE,644,Picoroco,"450,000",,0.8,B,BN,CHD,
2016,1,8,336,SAN VICENTE,820,Piure,"250,000",,0.55,B,BN,CHD,
2016,1,8,336,SAN VICENTE,445,Jibia o calamar rojo ,"110,000",,20,L,BN,PP,
2016,1,8,336,SAN VICENTE,820,Piure,"250,000",,0.75,B,BN,CHD,
2016,1,8,336,SAN VICENTE,445,Jibia o calamar rojo ,"110,000",,15,L,BN,PP,
2016,1,8,308,COCHOLGUE,270,Robalo,"1,500,000",,0.035,B,BN,CHD,
2016,1,8,308,COCHOLGUE,227,Congrio colorado,"1,500,000",,0.025,B,BN,CHD,
2016,1,8,308,COCHOLGUE,242,Merluza comun,"600,000",,0.28,B,BN,CHD,
2016,1,8,308,COCHOLGUE,274,Reineta,"400,000",,0.4,B,BN,CHD,
2016,1,8,308,COCHOLGUE,282,Sierra,"1,500,000",,0.282,B,BN,CHD,
2016,1,8,308,COCHOLGUE,274,Reineta,"600,000",,0.028,B,BN,CHD,
2016,1,8,308,COCHOLGUE,236,Lenguado de ojos chicos,"3,000,000",,0.015,B,BN,CHD,
2016,1,8,308,COCHOLGUE,227,Congrio colorado,"2,500,000",,0.02,B,BN,CHD,
2016,1,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,1.2,B - L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,229,Congrio negro,"1,900,000",,2.45,B,BN,CHD,
2016,1,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.9,B - L,BN,CHD-PP,
2016,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,180,000",,35,B,BN,CHD - PP,
2016,1,8,350,LO ROJAS,465,Navajuela,"690,000",,23,B,BN,CHD - PP,
2016,1,8,350,LO ROJAS,406,Almeja,"360,000",,0.2,B,BN,CHD,
2016,1,8,350,LO ROJAS,234,Jurel,"550,000",,12,B - L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,407,Taquilla,"165,000",,6,B,BN,CHD - PP,
2016,1,8,350,LO ROJAS,242,Merluza comun,"950,000",,7.5,L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.7,B,BN,CHD - PP,
2016,1,8,350,LO ROJAS,820,Piure,"500,000",,0.5,B,BN,CHD,
2016,1,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.3,B,BN,CHD - PP,
2016,1,8,350,LO ROJAS,445,Jibia o calamar rojo ,"119,000",,15,L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,274,Reineta,"850,000",,8,B - L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,655,Jaiba remadora,"820,000",,0.2,B - L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,1.2,B - L,BN,CHD - PP,
2016,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,180,000",,21,B,BN,CHD - PP,
