PRECIOS DE PRIMERA TRANSACCIîN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2017,,,,,,,,,,,,
,,,,,,,,,,,,
A„O,MES,REGIîN,C—digo Caleta,Nom_caleta,C—digo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2017,1,15,4,ARICA,231,Dorado de altura,"1,500,000",,0.2,B,BN ,CHD 
2017,1,15,4,ARICA,219,Cabinza,"1,000,000",,0.05,B,BN ,CHD 
2017,1,15,4,ARICA,286,Tollo,"1,300,000",,0.09,B,BN ,CHD 
2017,1,15,4,ARICA,357,Raya espinosa,"2,000,000",,0.06,B,BN ,CHD 
2017,1,15,4,ARICA,230,Corvina,"3,000,000",,0.1,B,BN ,CHD 
2017,1,15,4,ARICA,219,Cabinza,"1,000,000",,0.07,B,BN ,CHD 
2017,1,15,4,ARICA,234,Jurel,"1,500,000",,0.08,B,BN ,CHD 
2017,1,15,4,ARICA,218,Caballa,"1,000,000",,0.07,B,BN ,CHD 
2017,1,15,4,ARICA,406,Almeja,"1,000,000",,0.04,B,BN ,CHD 
2017,1,15,4,ARICA,272,Roncacho,"1,500,000",,0.05,B,BN ,CHD 
2017,1,1,10,CAVANCHA,229,Congrio negro,"2,500,000",,0.06,L,BN,CHD
2017,1,1,10,CAVANCHA,227,Congrio colorado,"3,500,000",,0.02,L,BN,CHD
2017,1,1,10,CAVANCHA,207,Apa–ado,"4,000,000",,0.02,L,BN,CHD
2017,1,1,10,CAVANCHA,232,Acha o Hacha,"7,000,000",,0.1,L,BN,CHD
2017,1,1,10,CAVANCHA,229,Congrio negro,"2,500,000",,0.06,L,BN,CHD
2017,1,1,10,CAVANCHA,227,Congrio colorado,"3,500,000",,0.02,L,BN,CHD
2017,1,1,10,CAVANCHA,207,Apa–ado,"4,000,000",,0.02,L,BN,CHD
2017,1,1,10,CAVANCHA,232,Acha o Hacha,"7,000,000",,0.1,L,BN,CHD
2017,1,1,8,RIQUELME,415,Caracol locate,"130,000",,4.01,B,BN,PP
2017,1,1,8,RIQUELME,231,Dorado de altura,"2,000,000",,0.12,L,BN,CHD
2017,1,1,8,RIQUELME,284,Tibur—n o marrajo,"2,000,000",,0.05,L,BN,CHD
2017,1,1,8,RIQUELME,211,Azulejo,"800,000",,0.08,L,BN,CHD
2017,1,1,8,RIQUELME,415,Caracol locate,"130,000",,3.92,B,BN,PP
2017,1,2,56,TALTAL,141,Chasc—n o huiro negro,"360,000",35,1,O,BN,PP
2017,1,2,56,TALTAL,142,Huiro palo,"270,000",35,1,O,BN,PP
2017,1,2,56,TALTAL,451,Lapa negra,"650,000",,1,O,BN,PP
2017,1,2,56,TALTAL,262,Pejeperro,"4,000,000",,1,B,BN,CHD
